,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions,promotion_name,sales_country,media_type,cost,id,store_id,customer_id,product_id
7942,11.67,5.2515,3,Save-It Sale,USA,Sunday Paper,139.37,12367,s18,c261,prod7940
7943,11.67,5.6016,3,Sales Days,USA,Bulk Mail,116.74,12395,s58,c370,prod7940
7944,11.67,5.835,3,Price Savers,USA,"Sunday Paper, Radio",111.7,12359,s18,c814,prod7940
7945,15.56,7.3132,4,Price Smashers,USA,Product Attachment,138.23,12377,s40,c912,prod7940
7946,7.78,2.723,2,Super Duper Savers,USA,Daily Paper,100.91,12394,s58,c993,prod7940
7947,11.67,4.3179,3,Best Savings,USA,"Daily Paper, Radio, TV",53.82,12430,s82,c1103,prod7940
7948,7.78,2.8786,2,Unbeatable Price Savers,USA,"Daily Paper, Radio, TV",137.77,12368,s40,c2124,prod7940
7949,15.56,5.2904,4,Double Down Sale,USA,Street Handout,59.19,12376,s40,c2197,prod7940
7950,11.67,4.2012,3,Bye Bye Baby,USA,Radio,90.58,12382,s40,c2332,prod7940
7951,15.56,7.6244,4,Two Day Sale,USA,"Daily Paper, Radio",149.75,12426,s82,c3287,prod7940
7952,11.67,3.9678,3,Two Day Sale,USA,Sunday Paper,126.88,12425,s82,c3333,prod7940
7953,15.56,6.3796,4,One Day Sale,USA,"Daily Paper, Radio, TV",117.29,12439,s100,c3516,prod7940
7954,11.67,5.3682,3,Weekend Markdown,USA,Street Handout,117.4,12440,s100,c3522,prod7940
7955,15.56,7.3132,4,Two for One,USA,Product Attachment,106.2,12496,s113,c4018,prod7940
7956,15.56,6.6908,4,Money Savers,USA,"Sunday Paper, Radio, TV",82.61,12495,s113,c4775,prod7940
7957,11.67,4.9014,3,Bye Bye Baby,USA,Radio,90.58,12369,s40,c5753,prod7940
7958,15.56,6.6908,4,Price Slashers,USA,"Sunday Paper, Radio, TV",100.44,12383,s40,c5850,prod7940
7959,7.78,2.9564,2,Two Day Sale,USA,Radio,91.28,12388,s40,c6993,prod7940
7960,11.67,5.7183,3,High Roller Savings,USA,Daily Paper,101.84,12418,s73,c7243,prod7940
7961,7.78,2.8786,2,Price Slashers,USA,Radio,76.98,12381,s40,c7977,prod7940
7962,15.56,6.0684,4,Fantastic Discounts,USA,Radio,137.46,12428,s82,c8024,prod7940
7963,7.78,2.6452,2,Mystery Sale,USA,"Daily Paper, Radio",68.84,12433,s82,c8029,prod7940
7964,7.78,3.0342,2,Money Savers,USA,Radio,119.55,12520,s126,c8056,prod7940
7965,9.76,4.4896,4,Savings Galore,USA,Street Handout,138.53,12373,s40,c47,prod7941
7966,7.32,2.2692,3,Price Winners,USA,Cash Register Handout,95.21,12398,s58,c375,prod7941
7967,9.76,4.2944,4,Shelf Emptiers,USA,"Daily Paper, Radio, TV",107.89,12408,s73,c401,prod7941
7968,7.32,2.4156,3,Double Down Sale,USA,Daily Paper,55.96,12422,s82,c454,prod7941
7969,7.32,3.2208,3,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,12350,s0,c637,prod7941
7970,4.88,2.196,2,Dollar Cutters,USA,"Sunday Paper, Radio",136.74,12360,s18,c840,prod7941
7971,7.32,2.196,3,Weekend Markdown,USA,In-Store Coupon,73.05,12362,s18,c841,prod7941
7972,7.32,2.7816,3,Bag Stuffers,USA,Product Attachment,82.62,12345,s0,c1288,prod7941
7973,9.76,4.5872,4,High Roller Savings,USA,"Daily Paper, Radio",84.16,12348,s0,c1344,prod7941
7974,7.32,3.1476,3,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,12349,s0,c1354,prod7941
7975,9.76,3.2208,4,Price Winners,USA,In-Store Coupon,94.63,12361,s18,c1799,prod7941
7976,9.76,4.0992,4,Two Day Sale,USA,Radio,91.28,12372,s40,c2154,prod7941
7977,4.88,1.5128,2,Weekend Markdown,USA,"Daily Paper, Radio",69.63,12374,s40,c2157,prod7941
7978,9.76,4.88,4,Green Light Days,USA,Street Handout,133.42,12389,s58,c2499,prod7941
7979,7.32,2.928,3,High Roller Savings,USA,Daily Paper,101.84,12405,s73,c2888,prod7941
7980,7.32,3.66,3,One Day Sale,USA,"Daily Paper, Radio, TV",85.88,12423,s82,c3194,prod7941
7981,9.76,4.392,4,Price Savers,USA,Product Attachment,62.27,12443,s100,c3553,prod7941
7982,4.88,2.2448,2,One Day Sale,USA,Street Handout,95.15,12447,s110,c3909,prod7941
7983,9.76,4.0016,4,Money Savers,USA,"Sunday Paper, Radio, TV",82.61,12497,s113,c4022,prod7941
7984,4.88,2.3912,2,Mystery Sale,USA,Bulk Mail,84.97,12498,s113,c4051,prod7941
7985,7.32,2.4156,3,Two for One,USA,Daily Paper,68.97,12420,s82,c5212,prod7941
7986,9.76,3.6112,4,Price Slashers,USA,Radio,76.98,12375,s40,c5763,prod7941
7987,9.76,4.5872,4,High Roller Savings,USA,Daily Paper,101.84,12406,s73,c6051,prod7941
7988,9.76,3.8064,4,Bye Bye Baby,USA,"Daily Paper, Radio, TV",58.16,12421,s82,c6162,prod7941
7989,9.76,2.928,4,Two Day Sale,USA,Radio,91.28,12371,s40,c7720,prod7941
7990,4.88,2.196,2,Shelf Emptiers,USA,"Daily Paper, Radio, TV",107.89,12407,s73,c7794,prod7941
7991,7.32,2.4888,3,Shelf Emptiers,USA,"Daily Paper, Radio, TV",107.89,12403,s73,c7999,prod7941
7992,5.9,2.301,2,Price Slashers,USA,"Sunday Paper, Radio, TV",86.21,12502,s113,c123,prod7942
7993,11.8,4.602,4,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,12356,s0,c180,prod7942
7994,5.9,2.596,2,Best Savings,USA,Street Handout,114.01,12370,s40,c282,prod7942
7995,5.9,2.124,2,Dollar Cutters,USA,"Sunday Paper, Radio, TV",135.5,12392,s58,c361,prod7942
7996,11.8,5.782,4,Save-It Sale,USA,"Daily Paper, Radio, TV",89.37,12401,s58,c1026,prod7942
7997,8.85,3.363,3,Price Cutters,USA,Product Attachment,129.2,12419,s82,c1074,prod7942
7998,11.8,3.776,4,Price Destroyers,USA,"Daily Paper, Radio, TV",58.27,12501,s113,c1216,prod7942
7999,5.9,2.419,2,Save-It Sale,USA,Radio,144.38,12346,s0,c1292,prod7942
8000,8.85,3.2745,3,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,12347,s0,c1306,prod7942
8001,11.8,5.546,4,Cash Register Lottery,USA,In-Store Coupon,95.78,12352,s0,c1442,prod7942
8002,5.9,2.478,2,Cash Register Lottery,USA,In-Store Coupon,95.78,12357,s0,c1618,prod7942
8003,8.85,3.54,3,Free For All,USA,Product Attachment,143.83,12358,s0,c1655,prod7942
8004,8.85,2.9205,3,Unbeatable Price Savers,USA,Bulk Mail,66.78,12379,s40,c2235,prod7942
8005,8.85,3.9825,3,Wallet Savers,USA,"Sunday Paper, Radio, TV",79.95,12390,s58,c2513,prod7942
8006,8.85,3.8055,3,Saving Days,USA,Product Attachment,83.26,12402,s73,c2857,prod7942
8007,8.85,4.1595,3,Super Savers,USA,"Sunday Paper, Radio",64.76,12404,s73,c2884,prod7942
8008,11.8,5.31,4,Saving Days,USA,"Sunday Paper, Radio, TV",67.11,12435,s82,c3451,prod7942
8009,8.85,4.071,3,Big Time Discounts,USA,Product Attachment,109.93,12446,s100,c3787,prod7942
8010,11.8,4.602,4,Sales Days,USA,Daily Paper,62.71,12505,s113,c4202,prod7942
8011,8.85,4.071,3,Bag Stuffers,USA,"Daily Paper, Radio",126.62,12353,s0,c4849,prod7942
8012,11.8,4.72,4,Dollar Cutters,USA,Street Handout,131.46,12387,s40,c5868,prod7942
8013,11.8,4.012,4,Price Cutters,USA,Product Attachment,129.2,12432,s82,c6212,prod7942
8014,11.8,5.31,4,Save-It Sale,USA,Daily Paper,81.79,12412,s73,c8008,prod7942
8015,5.9,1.829,2,High Roller Savings,USA,Daily Paper,101.84,12414,s73,c8010,prod7942
8016,14.75,5.4575,5,Sales Galore,USA,Bulk Mail,96.55,12424,s82,c8020,prod7942
8017,11.8,5.31,4,Shelf Clearing Days,USA,"Daily Paper, Radio",76.41,12444,s100,c8040,prod7942
8018,7.14,3.4986,3,One Day Sale,USA,In-Store Coupon,93.07,12393,s58,c67,prod7947
8019,9.52,4.76,4,Save-It Sale,USA,"Daily Paper, Radio",64.84,12499,s113,c121,prod7947
8020,9.52,3.0464,4,Free For All,USA,Product Attachment,143.83,12351,s0,c133,prod7947
8021,7.14,2.7132,3,Price Slashers,USA,Radio,76.98,12380,s40,c301,prod7947
8022,7.14,2.6418,3,Sales Days,USA,Bulk Mail,116.74,12396,s58,c370,prod7947
8023,7.14,2.7846,3,Save-It Sale,USA,Daily Paper,81.79,12411,s73,c419,prod7947
8024,7.14,2.3562,3,Double Down Sale,USA,Daily Paper,55.96,12413,s73,c426,prod7947
8025,4.76,1.904,2,Shelf Clearing Days,USA,Sunday Paper,106.1,12500,s113,c600,prod7947
8026,4.76,1.7136,2,Dollar Cutters,USA,"Sunday Paper, Radio",136.74,12366,s18,c865,prod7947
8027,9.52,4.1888,4,Sales Galore,USA,Bulk Mail,142.45,12378,s40,c901,prod7947
8028,7.14,3.0702,3,Super Savers,USA,"Sunday Paper, Radio",64.99,12400,s58,c1025,prod7947
8029,7.14,3.3558,3,You Save Days,USA,Sunday Paper,51.27,12503,s113,c1218,prod7947
8030,4.76,1.7136,2,Price Winners,USA,"Daily Paper, Radio",128.67,12519,s126,c1231,prod7947
8031,9.52,3.7128,4,I Cant Believe It Sale,USA,Product Attachment,69.47,12354,s0,c1481,prod7947
8032,7.14,2.9274,3,Pick Your Savings,USA,Radio,147.17,12409,s73,c2917,prod7947
8033,7.14,3.4986,3,Shelf Emptiers,USA,Street Handout,137.34,12436,s82,c3460,prod7947
8034,9.52,4.4744,4,Free For All,USA,Daily Paper,52.06,12437,s100,c3492,prod7947
8035,7.14,3.57,3,Big Time Discounts,USA,In-Store Coupon,145.6,12438,s100,c3511,prod7947
8036,7.14,2.856,3,Free For All,USA,"Sunday Paper, Radio",126.24,12442,s100,c3547,prod7947
8037,9.52,4.1888,4,Go For It,USA,Radio,105.74,12504,s113,c4173,prod7947
8038,7.14,2.4276,3,Two Day Sale,USA,Radio,91.28,12385,s40,c5067,prod7947
8039,7.14,3.4272,3,Price Slashers,USA,"Sunday Paper, Radio, TV",100.44,12384,s40,c5850,prod7947
8040,7.14,3.1416,3,You Save Days,USA,Bulk Mail,131.81,12415,s73,c8011,prod7947
8041,7.14,3.213,3,Savings Galore,USA,"Sunday Paper, Radio, TV",61.65,12416,s73,c8011,prod7947
8042,9.52,4.4744,4,Price Savers,USA,Cash Register Handout,128.2,12417,s73,c8013,prod7947
8043,7.14,3.0702,3,Price Cutters,USA,Product Attachment,129.2,12429,s82,c8025,prod7947
8044,4.76,1.4756,2,Money Savers,USA,Radio,119.55,12521,s126,c8056,prod7947
8045,5.88,2.5872,3,Sales Days,USA,Bulk Mail,116.74,12391,s58,c62,prod7959
8046,3.92,1.8424,2,Super Savers,USA,Cash Register Handout,71.51,12365,s18,c240,prod7959
8047,3.92,1.568,2,Super Duper Savers,USA,Daily Paper,100.91,12399,s58,c686,prod7959
8048,5.88,2.1756,3,You Save Days,USA,Bulk Mail,131.81,12410,s73,c1049,prod7959
8049,5.88,1.764,3,Two Day Sale,USA,Daily Paper,103.65,12363,s18,c1811,prod7959
8050,5.88,2.8812,3,Weekend Markdown,USA,In-Store Coupon,73.05,12364,s18,c1811,prod7959
8051,7.84,3.528,4,Green Light Days,USA,Street Handout,133.42,12397,s58,c2693,prod7959
8052,3.92,1.7248,2,Two Day Sale,USA,"Daily Paper, Radio",112.52,12431,s82,c3323,prod7959
8053,5.88,2.7636,3,Two Day Sale,USA,"Daily Paper, Radio",149.75,12434,s82,c3354,prod7959
8054,3.92,1.372,2,Weekend Markdown,USA,Street Handout,117.4,12441,s100,c3522,prod7959
8055,5.88,2.352,3,Shelf Clearing Days,USA,Radio,99.77,12386,s40,c6986,prod7959
8056,5.88,1.9404,3,One Day Sale,USA,"Daily Paper, Radio, TV",85.88,12427,s82,c7312,prod7959
8057,7.84,2.5088,4,Weekend Markdown,USA,Daily Paper,140.57,12445,s100,c7882,prod7959
8058,4.83,1.7871,3,Cash Register Lottery,USA,In-Store Coupon,95.78,12522,s0,c6,prod8058
8059,3.22,1.2558,2,Go For It,USA,"Daily Paper, Radio, TV",100.55,12635,s58,c59,prod8058
8060,6.44,2.3828,4,Tip Top Savings,USA,Street Handout,142.58,12571,s18,c231,prod8058
8061,8.05,3.4615,5,Sales Galore,USA,Product Attachment,149.08,12579,s18,c244,prod8058
8062,4.83,1.9803,3,Super Duper Savers,USA,Sunday Paper,69.65,12585,s18,c253,prod8058
8063,4.83,1.5456,3,Super Duper Savers,USA,Daily Paper,100.91,12633,s58,c340,prod8058
8064,4.83,1.9803,3,Super Savers,USA,"Sunday Paper, Radio",64.99,12640,s58,c364,prod8058
8065,6.44,1.932,4,Super Duper Savers,USA,Daily Paper,100.91,12645,s58,c373,prod8058
8066,6.44,2.7692,4,Money Savers,USA,"Sunday Paper, Radio, TV",82.61,12873,s113,c614,prod8058
8067,8.05,2.6565,5,Two Day Sale,USA,Daily Paper,103.65,12558,s18,c825,prod8058
8068,4.83,1.5939,3,Weekend Markdown,USA,In-Store Coupon,73.05,12595,s18,c894,prod8058
8069,3.22,1.0626,2,Sales Days,USA,Bulk Mail,116.74,12662,s58,c1030,prod8058
8070,8.05,3.1395,5,You Save Days,USA,Bulk Mail,131.81,12690,s73,c1067,prod8058
8071,4.83,1.8354,3,Coupon Spectacular,USA,TV,51.47,12870,s113,c1217,prod8058
8072,4.83,1.6905,3,Unbeatable Price Savers,USA,"Daily Paper, Radio, TV",137.77,12603,s40,c2255,prod8058
8073,3.22,1.3524,2,Dollar Cutters,USA,"Daily Paper, Radio, TV",144.18,12604,s40,c2266,prod8058
8074,4.83,1.5939,3,High Roller Savings,USA,Daily Paper,101.84,12665,s73,c2862,prod8058
8075,6.44,2.0608,4,High Roller Savings,USA,Daily Paper,101.84,12683,s73,c3007,prod8058
8076,4.83,2.0769,3,Two for One,USA,Daily Paper,68.97,12697,s82,c3237,prod8058
8077,6.44,2.7048,4,Price Destroyers,USA,"Daily Paper, Radio, TV",58.27,12866,s113,c4022,prod8058
8078,6.44,1.9964,4,Two for One,USA,Product Attachment,106.2,12871,s113,c4128,prod8058
8079,6.44,2.898,4,Cash Register Lottery,USA,In-Store Coupon,95.78,12551,s0,c5569,prod8058
8080,3.22,1.3524,2,You Save Days,USA,TV,108.22,12743,s100,c6363,prod8058
8081,6.44,3.1556,4,Sales Galore,USA,Bulk Mail,142.45,12602,s40,c8138,prod8058
8082,6.44,2.3828,4,Dollar Cutters,USA,TV,66.18,12869,s113,c8298,prod8058
8083,7.72,3.1652,4,Two for One,USA,"Daily Paper, Radio, TV",57.52,12652,s58,c70,prod8059
8084,5.79,1.8528,3,I Cant Believe It Sale,USA,Product Attachment,69.47,12538,s0,c155,prod8059
8085,3.86,1.8142,2,Double Down Sale,USA,Street Handout,59.19,12615,s40,c317,prod8059
8086,5.79,2.316,3,Wallet Savers,USA,"Sunday Paper, Radio, TV",79.95,12649,s58,c379,prod8059
8087,5.79,1.7949,3,Coupon Spectacular,USA,TV,51.47,12863,s113,c578,prod8059
8088,5.79,2.0265,3,Cash Register Lottery,USA,"Sunday Paper, Radio",123.61,12527,s0,c746,prod8059
8089,5.79,2.2002,3,Free For All,USA,In-Store Coupon,109.06,12561,s18,c838,prod8059
8090,5.79,2.1423,3,Dollar Cutters,USA,"Sunday Paper, Radio",136.74,12563,s18,c840,prod8059
8091,7.72,2.702,4,Double Down Sale,USA,Street Handout,59.19,12610,s40,c932,prod8059
8092,5.79,1.7949,3,Bye Bye Baby,USA,Radio,90.58,12597,s40,c2154,prod8059
8093,7.72,3.6284,4,Two Day Sale,USA,Radio,91.28,12608,s40,c2298,prod8059
8094,7.72,3.0108,4,High Roller Savings,USA,Daily Paper,101.84,12688,s73,c3051,prod8059
8095,7.72,3.3968,4,Free For All,USA,Daily Paper,52.06,12726,s100,c3551,prod8059
8096,7.72,3.1652,4,Money Savers,USA,Cash Register Handout,53.01,12734,s100,c3674,prod8059
8097,5.79,2.6634,3,You Save Days,USA,Bulk Mail,131.81,12671,s73,c5149,prod8059
8098,3.86,1.4282,2,Sales Galore,USA,Bulk Mail,142.45,12607,s40,c5817,prod8059
8099,3.86,1.5054,2,Two Day Sale,USA,Radio,91.28,12632,s40,c7017,prod8059
8100,5.79,1.737,3,Shelf Emptiers,USA,"Daily Paper, Radio, TV",107.89,12668,s73,c7154,prod8059
8101,3.86,1.3896,2,Cash Register Lottery,USA,"Sunday Paper, Radio",123.61,12523,s0,c8059,prod8059
8102,7.72,3.3968,4,Save-It Sale,USA,Daily Paper,81.79,12687,s73,c8223,prod8059
8103,5.79,1.8528,3,High Roller Savings,USA,Daily Paper,101.84,12718,s82,c8254,prod8059
8104,5.79,2.6055,3,One Day Sale,USA,"Daily Paper, Radio, TV",117.29,12728,s100,c8264,prod8059
8105,8.8,3.96,4,Price Savers,USA,"Sunday Paper, Radio",80.29,12524,s0,c2,prod8060
8106,6.6,2.31,3,Double Down Sale,USA,TV,95.74,12559,s18,c24,prod8060
8107,4.4,1.672,2,Weekend Markdown,USA,In-Store Coupon,73.05,12583,s18,c250,prod8060
8108,4.4,1.848,2,Dimes Off,USA,In-Store Coupon,101.65,12912,s126,c621,prod8060
8109,6.6,2.31,3,Saving Days,USA,"Daily Paper, Radio",118.36,12746,s100,c1160,prod8060
8110,6.6,2.706,3,Free For All,USA,In-Store Coupon,109.06,12560,s18,c1762,prod8060
8111,6.6,3.036,3,Sales Galore,USA,Product Attachment,149.08,12592,s18,c1807,prod8060
8112,8.8,4.136,4,Big Promo,USA,Sunday Paper,51.12,12570,s18,c1892,prod8060
8113,4.4,1.936,2,Dollar Days,USA,"Daily Paper, Radio",138.81,12586,s18,c2015,prod8060
8114,6.6,2.706,3,Two Day Sale,USA,Radio,91.28,12623,s40,c2398,prod8060
8115,4.4,1.848,2,Weekend Markdown,USA,"Daily Paper, Radio",69.63,12626,s40,c2436,prod8060
8116,8.8,3.784,4,Sale Winners,USA,In-Store Coupon,147.35,12667,s73,c2886,prod8060
8117,4.4,2.024,2,You Save Days,USA,Bulk Mail,131.81,12676,s73,c2958,prod8060
8118,6.6,2.574,3,Go For It,USA,Product Attachment,119.3,12729,s100,c3605,prod8060
8119,6.6,2.838,3,Sales Galore,USA,TV,106.16,12695,s82,c5212,prod8060
8120,4.4,2.112,2,Bag Stuffers,USA,Product Attachment,82.62,12535,s0,c5490,prod8060
8121,8.8,3.52,4,High Roller Savings,USA,Daily Paper,101.84,12686,s73,c8010,prod8060
8122,4.4,2.112,2,Dollar Cutters,USA,Street Handout,131.46,12624,s40,c8160,prod8060
8123,2.2,0.792,1,Weekend Markdown,USA,"Sunday Paper, Radio, TV",67.51,12910,s126,c8305,prod8060
8124,1.62,0.486,3,Price Savers,USA,"Sunday Paper, Radio",80.29,12525,s0,c130,prod8061
8125,1.62,0.7938,3,You Save Days,USA,Bulk Mail,131.81,12672,s73,c402,prod8061
8126,1.62,0.6642,3,One Day Sale,USA,"Daily Paper, Radio, TV",117.29,12725,s100,c510,prod8061
8127,1.08,0.324,2,Go For It,USA,Radio,73.02,12750,s110,c563,prod8061
8128,1.62,0.6804,3,Bag Stuffers,USA,Product Attachment,82.62,12548,s0,c798,prod8061
8129,1.62,0.5832,3,Price Savers,USA,"Sunday Paper, Radio",111.7,12556,s18,c818,prod8061
8130,2.16,0.9504,4,Double Down Sale,USA,"Daily Paper, Radio",62.67,12654,s58,c1015,prod8061
8131,1.62,0.7938,3,Green Light Days,USA,Street Handout,133.42,12664,s58,c1031,prod8061
8132,1.62,0.6804,3,Save-It Sale,USA,Daily Paper,81.79,12707,s82,c1100,prod8061
8133,2.16,0.972,4,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,12539,s0,c1439,prod8061
8134,1.08,0.432,2,I Cant Believe It Sale,USA,Product Attachment,69.47,12543,s0,c1483,prod8061
8135,1.62,0.6642,3,Sales Galore,USA,Product Attachment,149.08,12566,s18,c1820,prod8061
8136,2.16,0.9504,4,Save-It Sale,USA,Sunday Paper,139.37,12573,s18,c1920,prod8061
8137,1.08,0.3672,2,Dollar Days,USA,"Daily Paper, Radio",138.81,12575,s18,c1946,prod8061
8138,2.16,0.756,4,Big Promo,USA,Cash Register Handout,123.88,12598,s40,c2163,prod8061
8139,2.16,0.6912,4,Big Promo,USA,Radio,98.52,12646,s58,c2693,prod8061
8140,1.62,0.648,3,Sale Winners,USA,In-Store Coupon,147.35,12666,s73,c2886,prod8061
8141,2.7,0.945,5,You Save Days,USA,Bulk Mail,131.81,12675,s73,c2918,prod8061
8142,2.16,0.7128,4,Price Cutters,USA,Product Attachment,129.2,12714,s82,c3430,prod8061
8143,1.62,0.7128,3,Money Savers,USA,Cash Register Handout,53.01,12724,s100,c4695,prod8061
8144,2.16,1.08,4,Mystery Sale,USA,Bulk Mail,84.97,12875,s113,c5418,prod8061
8145,1.08,0.4536,2,Weekend Markdown,USA,Daily Paper,140.57,12739,s100,c6345,prod8061
8146,2.16,0.8208,4,Best Savings,USA,"Daily Paper, Radio, TV",53.82,12693,s73,c7816,prod8061
8147,1.62,0.5994,3,Saving Days,USA,Product Attachment,83.26,12680,s73,c8216,prod8061
8148,1.62,0.7452,3,Mystery Sale,USA,"Daily Paper, Radio",68.84,12711,s82,c8247,prod8061
8149,10.68,4.806,4,Big Promo,USA,Sunday Paper,51.12,12562,s18,c25,prod8062
8150,10.68,3.3108,4,Tip Top Savings,USA,"Daily Paper, Radio, TV",54.9,12546,s0,c180,prod8062
8151,10.68,4.4856,4,Super Savers,USA,"Sunday Paper, Radio",64.99,12638,s58,c356,prod8062
8152,8.01,3.9249,3,Money Savers,USA,Cash Register Handout,53.01,12736,s100,c539,prod8062
8153,2.67,1.2549,1,Unbeatable Price Savers,USA,Daily Paper,104.3,12751,s110,c565,prod8062
8154,10.68,4.1652,4,Price Slashers,USA,Sunday Paper,67.2,12742,s100,c722,prod8062
8155,8.01,3.5244,3,Price Savers,USA,"Sunday Paper, Radio",80.29,12526,s0,c746,prod8062
8156,8.01,2.7234,3,Super Savers,USA,Cash Register Handout,71.51,12564,s18,c841,prod8062
8157,8.01,3.9249,3,Weekend Markdown,USA,"Daily Paper, Radio",69.63,12614,s40,c940,prod8062
8158,8.01,2.4831,3,Unbeatable Price Savers,USA,Bulk Mail,66.78,12621,s40,c944,prod8062
8159,5.34,2.0826,2,Green Light Days,USA,Street Handout,133.42,12655,s58,c1018,prod8062
8160,8.01,2.403,3,Free For All,USA,"Sunday Paper, Radio",126.24,12730,s100,c1141,prod8062
8161,5.34,2.5632,2,Savings Galore,USA,"Sunday Paper, Radio",105.26,12913,s126,c1233,prod8062
8162,8.01,2.8836,3,Bag Stuffers,USA,Daily Paper,70.32,12565,s18,c1807,prod8062
8163,5.34,2.0292,2,Dollar Cutters,USA,"Sunday Paper, Radio",136.74,12582,s18,c1993,prod8062
8164,8.01,3.3642,3,Sales Galore,USA,Product Attachment,149.08,12589,s18,c2065,prod8062
8165,8.01,2.9637,3,High Roller Savings,USA,Daily Paper,101.84,12678,s73,c2966,prod8062
8166,5.34,2.136,2,Shelf Emptiers,USA,Bulk Mail,117.86,12694,s82,c3176,prod8062
8167,5.34,2.67,2,High Roller Savings,USA,Daily Paper,101.84,12710,s82,c3361,prod8062
8168,5.34,2.5632,2,Free For All,USA,Daily Paper,52.06,12722,s100,c3523,prod8062
8169,8.01,2.5632,3,Price Destroyers,USA,"Daily Paper, Radio, TV",58.27,12865,s113,c4018,prod8062
8170,10.68,3.3108,4,Two Day Sale,USA,Sunday Paper,126.88,12706,s82,c4656,prod8062
8171,8.01,3.8448,3,Price Slashers,USA,"Sunday Paper, Radio, TV",100.44,12620,s40,c5850,prod8062
8172,8.01,3.9249,3,Bye Bye Baby,USA,"Daily Paper, Radio, TV",58.16,12669,s73,c7155,prod8062
8173,13.35,4.4055,5,Price Slashers,USA,Radio,76.98,12611,s40,c8147,prod8062
8174,8.01,2.9637,3,You Save Days,USA,Bulk Mail,131.81,12708,s82,c8244,prod8062
8175,9.85,3.8415,5,Big Time Savings,USA,Radio,53.45,12533,s0,c2,prod8064
8176,3.94,1.5366,2,Big Promo,USA,Sunday Paper,51.12,12574,s18,c238,prod8064
8177,7.88,2.8368,4,Savings Galore,USA,Street Handout,138.53,12606,s40,c304,prod8064
8178,3.94,1.2608,2,Sales Galore,USA,Bulk Mail,142.45,12616,s40,c318,prod8064
8179,5.91,2.2458,3,Sales Days,USA,Bulk Mail,116.74,12643,s58,c370,prod8064
8180,5.91,2.364,3,Green Light Days,USA,Street Handout,133.42,12644,s58,c373,prod8064
8181,3.94,1.6548,2,You Save Days,USA,Bulk Mail,131.81,12689,s73,c434,prod8064
8182,5.91,2.4231,3,Shelf Clearing Days,USA,"Sunday Paper, Radio, TV",101.96,12696,s82,c460,prod8064
8183,3.94,1.2214,2,Price Slashers,USA,"Sunday Paper, Radio, TV",54.11,12545,s0,c1531,prod8064
8184,5.91,1.8912,3,Saving Days,USA,Street Handout,67.31,12555,s18,c1697,prod8064
8185,3.94,1.379,2,Three for One,USA,Product Attachment,122.47,12568,s18,c1850,prod8064
8186,9.85,3.152,5,Sales Galore,USA,Product Attachment,149.08,12576,s18,c1957,prod8064
8187,5.91,2.1276,3,Weekend Markdown,USA,"Daily Paper, Radio",69.63,12600,s40,c2240,prod8064
8188,3.94,1.7336,2,High Roller Savings,USA,Daily Paper,101.84,12679,s73,c2981,prod8064
8189,5.91,2.5413,3,You Save Days,USA,Bulk Mail,131.81,12682,s73,c2999,prod8064
8190,7.88,3.7036,4,Sales Galore,USA,TV,106.16,12704,s82,c3290,prod8064
8191,7.88,3.546,4,Weekend Markdown,USA,Daily Paper,140.57,12723,s100,c3523,prod8064
8192,3.94,1.6942,2,Super Wallet Savers,USA,Cash Register Handout,140.19,12744,s100,c3848,prod8064
8193,5.91,2.5413,3,Price Slashers,USA,"Sunday Paper, Radio, TV",54.11,12528,s0,c5451,prod8064
8194,7.88,2.758,4,High Roller Savings,USA,Daily Paper,101.84,12716,s82,c6219,prod8064
8195,7.88,2.4428,4,Double Your Savings,USA,Radio,94.43,12631,s40,c7006,prod8064
8196,5.91,2.2458,3,Price Destroyers,USA,Sunday Paper,121.44,12740,s100,c7471,prod8064
8197,1.97,0.788,1,Money Savers,USA,Radio,119.55,12914,s126,c8056,prod8064
8198,5.91,2.3049,3,Double Down Sale,USA,Radio,50.79,12553,s0,c8089,prod8064
8199,7.88,3.546,4,Price Slashers,USA,Radio,76.98,12612,s40,c8147,prod8064
8200,7.88,3.7824,4,Weekend Markdown,USA,"Daily Paper, Radio",69.63,12613,s40,c8149,prod8064
8201,5.91,2.7186,3,Save-It Sale,USA,Daily Paper,81.79,12717,s82,c8253,prod8064
8202,6.96,2.1576,4,Sales Galore,USA,Product Attachment,149.08,12557,s18,c22,prod8065
8203,6.96,2.088,4,Super Savers,USA,"Sunday Paper, Radio",64.99,12653,s58,c70,prod8065
8204,6.96,2.2272,4,Price Savers,USA,"Sunday Paper, Radio",80.29,12529,s0,c135,prod8065
8205,5.22,2.4534,3,Super Duper Savers,USA,Sunday Paper,69.65,12572,s18,c232,prod8065
8206,6.96,3.2016,4,Sales Galore,USA,Bulk Mail,142.45,12617,s40,c318,prod8065
8207,3.48,1.7052,2,Dollar Cutters,USA,"Sunday Paper, Radio, TV",135.5,12636,s58,c347,prod8065
8208,5.22,1.9836,3,Wallet Savers,USA,"Sunday Paper, Radio, TV",79.95,12660,s58,c393,prod8065
