,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at_home_approx,avg_yearly_income,num_children_at_home,customer_id,location_id
660,S,F,2,High School Degree,Bronze,Management,N,2,$70K - $90K,0,c790,loc0
661,M,F,4,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,1,c791,loc0
662,M,M,2,Bachelors Degree,Bronze,Management,Y,4,$70K - $90K,1,c792,loc0
663,S,F,1,Partial High School,Normal,Manual,N,1,$10K - $30K,0,c794,loc0
664,M,M,5,Partial High School,Normal,Professional,Y,4,$130K - $150K,5,c795,loc0
665,M,F,1,High School Degree,Bronze,Manual,Y,3,$30K - $50K,0,c796,loc0
666,M,M,4,Partial High School,Golden,Professional,Y,3,$130K - $150K,4,c798,loc0
667,M,F,1,Bachelors Degree,Golden,Professional,Y,3,$130K - $150K,1,c800,loc0
668,M,F,3,Graduate Degree,Golden,Management,Y,4,$70K - $90K,3,c804,loc0
669,S,M,2,Partial High School,Normal,Manual,N,0,$10K - $30K,0,c805,loc0
670,S,F,2,Partial High School,Normal,Manual,N,2,$10K - $30K,0,c806,loc0
671,M,M,2,Partial High School,Bronze,Skilled Manual,Y,3,$30K - $50K,2,c807,loc0
672,S,M,4,Bachelors Degree,Bronze,Professional,Y,3,$70K - $90K,0,c808,loc0
673,S,F,0,Partial High School,Normal,Manual,N,1,$10K - $30K,0,c809,loc0
674,S,F,1,High School Degree,Bronze,Skilled Manual,N,3,$30K - $50K,0,c810,loc0
675,S,F,4,Bachelors Degree,Bronze,Professional,Y,4,$50K - $70K,0,c812,loc0
676,M,F,4,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,3,c813,loc0
677,S,M,4,Partial High School,Bronze,Manual,N,3,$30K - $50K,0,c814,loc18
678,M,M,3,Bachelors Degree,Bronze,Management,N,2,$70K - $90K,0,c818,loc18
679,S,M,3,Partial High School,Bronze,Manual,Y,2,$30K - $50K,0,c825,loc18
680,M,M,2,Bachelors Degree,Bronze,Professional,Y,2,$70K - $90K,2,c827,loc18
681,S,F,2,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,0,c829,loc18
682,M,F,2,High School Degree,Bronze,Professional,Y,3,$70K - $90K,2,c834,loc18
683,S,M,4,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,0,c835,loc18
684,M,F,5,Bachelors Degree,Silver,Professional,Y,4,$50K - $70K,5,c836,loc18
685,S,F,2,Graduate Degree,Silver,Management,N,1,$70K - $90K,0,c838,loc18
686,M,M,2,Bachelors Degree,Normal,Professional,Y,1,$10K - $30K,0,c839,loc18
687,M,M,2,Partial College,Bronze,Professional,Y,1,$30K - $50K,1,c840,loc18
688,S,F,1,Partial High School,Normal,Manual,N,0,$10K - $30K,0,c841,loc18
689,M,M,0,Bachelors Degree,Bronze,Professional,Y,3,$70K - $90K,0,c842,loc18
690,S,M,4,High School Degree,Bronze,Skilled Manual,Y,1,$30K - $50K,0,c843,loc18
691,M,M,2,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,2,c844,loc18
692,S,M,1,Partial High School,Normal,Manual,N,1,$10K - $30K,0,c848,loc18
693,M,M,5,High School Degree,Golden,Manual,Y,3,$30K - $50K,4,c849,loc18
694,S,F,4,Partial College,Bronze,Professional,N,2,$30K - $50K,0,c851,loc18
695,M,F,5,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,1,c854,loc18
696,M,M,2,Partial College,Bronze,Professional,Y,3,$30K - $50K,2,c861,loc18
697,S,F,1,Bachelors Degree,Bronze,Professional,Y,1,$110K - $130K,0,c862,loc18
698,S,F,1,High School Degree,Bronze,Manual,Y,3,$30K - $50K,0,c863,loc18
699,M,F,3,Bachelors Degree,Golden,Management,Y,4,$70K - $90K,3,c864,loc18
700,S,F,2,Partial High School,Bronze,Professional,N,3,$90K - $110K,0,c865,loc18
701,M,F,2,Bachelors Degree,Bronze,Professional,Y,2,$110K - $130K,2,c867,loc18
702,M,F,2,Graduate Degree,Bronze,Professional,N,2,$90K - $110K,2,c868,loc18
703,M,F,4,Partial High School,Silver,Skilled Manual,Y,1,$10K - $30K,1,c870,loc18
704,S,F,0,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,c871,loc18
705,M,M,5,Bachelors Degree,Bronze,Professional,N,3,$70K - $90K,0,c872,loc18
706,M,F,2,Partial College,Bronze,Professional,Y,3,$30K - $50K,2,c875,loc18
707,M,F,3,High School Degree,Bronze,Skilled Manual,Y,3,$30K - $50K,1,c877,loc18
708,S,F,3,High School Degree,Silver,Skilled Manual,Y,3,$50K - $70K,0,c878,loc18
709,S,F,2,High School Degree,Bronze,Professional,N,2,$110K - $130K,0,c880,loc18
710,M,M,0,Graduate Degree,Bronze,Professional,Y,3,$70K - $90K,0,c882,loc18
711,S,M,3,Graduate Degree,Bronze,Professional,Y,3,$90K - $110K,0,c883,loc18
712,S,M,4,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,c886,loc18
713,M,M,3,Partial College,Bronze,Management,Y,3,$70K - $90K,2,c889,loc18
714,M,M,5,Bachelors Degree,Silver,Professional,N,3,$110K - $130K,5,c890,loc18
715,M,F,1,High School Degree,Normal,Professional,Y,3,$70K - $90K,1,c891,loc18
716,M,M,4,High School Degree,Golden,Manual,N,3,$30K - $50K,4,c892,loc18
717,M,M,1,Bachelors Degree,Bronze,Professional,Y,1,$70K - $90K,0,c894,loc18
718,S,M,3,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,c895,loc40
719,S,F,1,High School Degree,Silver,Management,Y,2,$150K +,0,c897,loc40
720,S,M,1,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,0,c899,loc40
721,M,F,3,Graduate Degree,Golden,Professional,N,3,$70K - $90K,3,c900,loc40
722,M,M,4,Bachelors Degree,Golden,Professional,Y,3,$50K - $70K,4,c901,loc40
723,S,M,5,Bachelors Degree,Golden,Management,Y,2,$50K - $70K,0,c903,loc40
724,M,M,4,Bachelors Degree,Golden,Management,N,3,$50K - $70K,3,c904,loc40
725,M,M,3,Partial High School,Golden,Management,Y,3,$150K +,3,c905,loc40
726,M,F,4,Bachelors Degree,Bronze,Professional,N,1,$70K - $90K,1,c906,loc40
727,S,M,0,Graduate Degree,Bronze,Professional,Y,3,$130K - $150K,0,c907,loc40
728,M,F,4,Bachelors Degree,Golden,Management,Y,4,$50K - $70K,3,c908,loc40
729,S,F,4,Partial College,Bronze,Management,N,4,$30K - $50K,0,c909,loc40
730,M,F,2,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,0,c910,loc40
731,S,M,5,Bachelors Degree,Bronze,Professional,N,4,$50K - $70K,0,c912,loc40
732,M,M,5,High School Degree,Golden,Skilled Manual,Y,3,$30K - $50K,4,c913,loc40
733,M,F,5,Partial College,Golden,Manual,Y,4,$50K - $70K,3,c915,loc40
734,S,F,0,Partial College,Bronze,Management,N,3,$30K - $50K,0,c917,loc40
735,S,F,1,Graduate Degree,Bronze,Professional,N,4,$70K - $90K,0,c918,loc40
736,M,M,3,Partial College,Bronze,Management,N,3,$30K - $50K,2,c919,loc40
737,M,M,2,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,1,c920,loc40
738,S,F,3,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,0,c921,loc40
739,M,M,1,Partial High School,Bronze,Skilled Manual,Y,1,$30K - $50K,1,c922,loc40
740,S,F,3,High School Degree,Bronze,Professional,Y,3,$130K - $150K,0,c924,loc40
741,S,F,4,Bachelors Degree,Bronze,Management,N,1,$30K - $50K,0,c925,loc40
742,S,M,4,Bachelors Degree,Bronze,Management,N,3,$50K - $70K,0,c926,loc40
743,S,M,2,Graduate Degree,Bronze,Professional,N,3,$90K - $110K,0,c927,loc40
744,M,F,3,High School Degree,Golden,Manual,N,2,$30K - $50K,3,c929,loc40
745,S,M,2,Bachelors Degree,Bronze,Professional,N,2,$70K - $90K,0,c930,loc40
746,M,F,1,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,1,c932,loc40
747,M,F,5,High School Degree,Normal,Manual,Y,2,$30K - $50K,3,c933,loc40
748,S,M,1,Partial High School,Normal,Manual,N,1,$10K - $30K,0,c934,loc40
749,S,F,2,Graduate Degree,Normal,Management,Y,3,$110K - $130K,0,c936,loc40
750,S,F,3,Partial High School,Normal,Professional,Y,1,$110K - $130K,0,c937,loc40
751,M,M,3,Partial High School,Normal,Manual,Y,1,$10K - $30K,3,c938,loc40
752,M,F,1,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,1,c939,loc40
753,S,M,1,Graduate Degree,Bronze,Professional,N,1,$70K - $90K,0,c940,loc40
754,S,F,4,Partial College,Bronze,Management,Y,4,$130K - $150K,0,c942,loc40
755,M,M,4,Partial High School,Silver,Manual,Y,4,$30K - $50K,4,c943,loc40
756,S,F,3,High School Degree,Bronze,Skilled Manual,N,2,$30K - $50K,0,c944,loc40
757,S,M,5,Partial High School,Normal,Skilled Manual,N,1,$30K - $50K,0,c946,loc40
758,S,F,4,High School Degree,Bronze,Manual,N,2,$30K - $50K,0,c947,loc40
759,M,M,0,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,0,c948,loc40
760,M,F,4,Bachelors Degree,Golden,Professional,Y,3,$50K - $70K,3,c950,loc40
761,S,F,4,High School Degree,Bronze,Professional,Y,2,$110K - $130K,0,c951,loc40
762,M,F,2,Partial High School,Normal,Manual,Y,2,$10K - $30K,1,c952,loc40
763,S,M,4,Bachelors Degree,Normal,Professional,N,2,$110K - $130K,0,c953,loc40
764,M,M,1,Bachelors Degree,Bronze,Management,Y,3,$70K - $90K,0,c954,loc40
765,S,M,5,Bachelors Degree,Bronze,Professional,Y,2,$70K - $90K,0,c955,loc40
766,M,F,0,Partial High School,Bronze,Professional,N,2,$90K - $110K,0,c956,loc40
767,S,M,1,High School Degree,Golden,Manual,N,4,$30K - $50K,0,c957,loc40
768,S,F,4,Partial High School,Bronze,Skilled Manual,Y,3,$50K - $70K,0,c958,loc40
769,M,F,1,Partial College,Silver,Professional,Y,2,$150K +,1,c959,loc40
770,S,M,2,High School Degree,Golden,Manual,N,4,$30K - $50K,0,c960,loc40
771,M,F,4,Graduate Degree,Bronze,Professional,Y,4,$30K - $50K,1,c961,loc40
772,S,M,4,Graduate Degree,Bronze,Professional,N,3,$70K - $90K,0,c971,loc58
773,M,M,2,Bachelors Degree,Golden,Professional,Y,3,$70K - $90K,2,c980,loc58
774,S,F,5,Partial High School,Golden,Manual,Y,1,$10K - $30K,0,c989,loc58
775,M,F,4,High School Degree,Bronze,Skilled Manual,N,1,$30K - $50K,1,c991,loc58
776,M,M,4,High School Degree,Bronze,Skilled Manual,Y,1,$30K - $50K,2,c993,loc58
777,M,F,1,Partial College,Golden,Professional,Y,1,$130K - $150K,0,c1004,loc58
778,M,M,1,Bachelors Degree,Bronze,Professional,Y,4,$110K - $130K,1,c1008,loc58
779,S,M,1,Bachelors Degree,Bronze,Professional,Y,4,$130K - $150K,0,c1013,loc58
780,M,M,5,Partial College,Normal,Professional,Y,4,$30K - $50K,5,c1015,loc58
781,S,F,0,High School Degree,Bronze,Management,N,3,$130K - $150K,0,c1017,loc58
782,M,M,2,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,1,c1018,loc58
783,S,M,2,Partial High School,Bronze,Manual,N,3,$30K - $50K,0,c1020,loc58
784,M,M,1,Partial High School,Bronze,Skilled Manual,Y,3,$30K - $50K,1,c1024,loc58
785,M,M,1,Partial High School,Normal,Manual,N,1,$10K - $30K,1,c1025,loc58
786,M,F,4,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,0,c1026,loc58
787,M,M,2,Partial High School,Normal,Manual,Y,0,$10K - $30K,1,c1030,loc58
788,M,M,1,Partial High School,Normal,Manual,Y,0,$10K - $30K,1,c1031,loc58
789,M,M,4,Bachelors Degree,Golden,Management,Y,3,$50K - $70K,4,c1032,loc73
790,M,F,1,High School Degree,Bronze,Manual,N,4,$30K - $50K,1,c1033,loc73
791,M,M,3,High School Degree,Bronze,Skilled Manual,Y,3,$30K - $50K,0,c1034,loc73
792,M,M,1,High School Degree,Normal,Manual,Y,1,$10K - $30K,1,c1035,loc73
793,M,F,2,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,2,c1036,loc73
794,M,M,1,Partial High School,Normal,Manual,Y,2,$10K - $30K,1,c1038,loc73
795,S,M,2,Graduate Degree,Bronze,Professional,N,2,$130K - $150K,0,c1039,loc73
796,S,M,0,Bachelors Degree,Bronze,Professional,Y,4,$130K - $150K,0,c1040,loc73
797,S,M,0,Partial High School,Silver,Skilled Manual,N,3,$30K - $50K,0,c1041,loc73
798,S,M,4,Bachelors Degree,Silver,Management,N,2,$50K - $70K,0,c1042,loc73
799,M,F,2,Partial College,Bronze,Clerical,Y,1,$30K - $50K,2,c1043,loc73
800,M,F,1,Graduate Degree,Bronze,Professional,Y,3,$110K - $130K,1,c1044,loc73
801,S,M,1,Partial High School,Normal,Manual,N,1,$10K - $30K,0,c1045,loc73
802,S,M,3,Partial High School,Normal,Manual,N,1,$10K - $30K,0,c1047,loc73
803,M,F,2,Partial College,Golden,Professional,Y,1,$150K +,2,c1048,loc73
804,S,M,4,Partial High School,Bronze,Skilled Manual,N,2,$30K - $50K,0,c1049,loc73
805,S,M,1,Partial High School,Normal,Manual,N,2,$30K - $50K,0,c1053,loc73
806,S,F,2,Bachelors Degree,Bronze,Management,Y,2,$50K - $70K,0,c1054,loc73
807,M,M,2,High School Degree,Bronze,Manual,N,3,$30K - $50K,2,c1055,loc73
808,S,M,2,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,c1056,loc73
809,M,M,2,Partial High School,Bronze,Skilled Manual,Y,3,$30K - $50K,2,c1057,loc73
810,M,M,1,Partial High School,Normal,Skilled Manual,N,0,$10K - $30K,1,c1058,loc73
811,S,M,1,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,c1059,loc73
812,S,F,1,Partial College,Bronze,Manual,N,1,$30K - $50K,0,c1060,loc73
813,S,M,4,High School Degree,Bronze,Skilled Manual,N,3,$30K - $50K,0,c1062,loc73
814,M,M,3,Partial High School,Golden,Management,Y,3,$150K +,2,c1064,loc73
815,M,M,5,Partial College,Bronze,Professional,Y,1,$110K - $130K,0,c1065,loc73
816,S,F,1,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,c1066,loc73
817,M,M,5,Partial High School,Normal,Manual,Y,1,$10K - $30K,3,c1067,loc73
818,S,F,0,Partial High School,Bronze,Professional,N,4,$130K - $150K,0,c1068,loc73
819,S,M,2,High School Degree,Bronze,Skilled Manual,Y,3,$30K - $50K,0,c1069,loc73
820,S,M,1,Bachelors Degree,Bronze,Management,N,3,$50K - $70K,0,c1070,loc73
821,S,F,2,Partial High School,Normal,Manual,N,2,$10K - $30K,0,c1071,loc82
822,S,M,4,Partial College,Bronze,Clerical,N,3,$30K - $50K,0,c1074,loc82
823,S,F,4,Partial High School,Normal,Skilled Manual,N,2,$10K - $30K,0,c1075,loc82
824,M,F,3,Partial College,Bronze,Clerical,Y,3,$30K - $50K,2,c1076,loc82
825,M,F,4,Partial High School,Silver,Skilled Manual,Y,2,$50K - $70K,4,c1077,loc82
826,M,F,4,Partial High School,Bronze,Skilled Manual,Y,4,$30K - $50K,0,c1078,loc82
827,S,F,3,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,c1079,loc82
828,M,M,5,High School Degree,Silver,Professional,N,2,$70K - $90K,3,c1080,loc82
829,M,F,3,Graduate Degree,Bronze,Professional,N,3,$110K - $130K,1,c1082,loc82
830,M,F,4,Bachelors Degree,Silver,Professional,Y,4,$50K - $70K,3,c1083,loc82
831,M,F,3,Partial College,Bronze,Professional,Y,3,$130K - $150K,3,c1085,loc82
832,M,M,4,High School Degree,Golden,Manual,N,3,$30K - $50K,4,c1086,loc82
833,S,M,3,Partial High School,Normal,Manual,N,2,$10K - $30K,0,c1089,loc82
834,S,M,2,High School Degree,Bronze,Manual,N,2,$30K - $50K,0,c1090,loc82
835,M,M,2,High School Degree,Bronze,Professional,Y,1,$130K - $150K,0,c1091,loc82
836,M,M,3,Partial High School,Normal,Manual,Y,2,$10K - $30K,2,c1092,loc82
837,S,F,2,Partial College,Bronze,Professional,Y,1,$30K - $50K,0,c1093,loc82
838,S,M,3,Partial High School,Bronze,Professional,N,1,$70K - $90K,0,c1094,loc82
839,S,M,0,Bachelors Degree,Bronze,Professional,N,1,$50K - $70K,0,c1096,loc82
840,M,F,3,High School Degree,Golden,Professional,N,4,$90K - $110K,3,c1097,loc82
841,M,M,3,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,0,c1099,loc82
842,S,F,0,Partial College,Bronze,Professional,N,2,$70K - $90K,0,c1100,loc82
843,M,F,5,Partial High School,Normal,Skilled Manual,Y,2,$10K - $30K,4,c1101,loc82
844,M,F,2,Partial High School,Normal,Manual,Y,0,$10K - $30K,2,c1102,loc82
845,M,F,4,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,2,c1103,loc82
846,S,M,4,Bachelors Degree,Bronze,Management,Y,4,$50K - $70K,0,c1104,loc82
847,S,F,2,Partial High School,Normal,Manual,N,0,$10K - $30K,0,c1105,loc82
848,S,M,0,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,0,c1106,loc82
849,M,M,5,Partial High School,Golden,Professional,Y,3,$70K - $90K,3,c1107,loc82
850,S,F,3,Partial College,Bronze,Management,Y,2,$130K - $150K,0,c1108,loc82
851,S,F,2,Bachelors Degree,Silver,Professional,Y,2,$150K +,0,c1109,loc82
852,M,F,3,Partial College,Golden,Skilled Manual,Y,4,$30K - $50K,3,c1110,loc82
853,S,F,4,Partial High School,Bronze,Skilled Manual,N,3,$30K - $50K,0,c1111,loc82
854,S,F,5,Partial High School,Normal,Skilled Manual,Y,2,$10K - $30K,0,c1112,loc82
855,S,F,1,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,c1113,loc82
856,M,F,1,High School Degree,Bronze,Manual,Y,1,$30K - $50K,1,c1115,loc82
857,M,F,2,Bachelors Degree,Silver,Professional,Y,1,$50K - $70K,2,c1116,loc82
858,M,M,3,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,2,c1118,loc100
859,S,F,1,Partial High School,Bronze,Skilled Manual,N,2,$10K - $30K,0,c1119,loc100
860,M,M,4,High School Degree,Silver,Skilled Manual,Y,4,$50K - $70K,4,c1121,loc100
861,M,F,4,Bachelors Degree,Golden,Professional,Y,2,$70K - $90K,4,c1122,loc100
862,S,M,1,High School Degree,Normal,Manual,Y,1,$30K - $50K,0,c1124,loc100
863,M,M,2,Partial High School,Normal,Manual,Y,2,$10K - $30K,1,c1125,loc100
864,S,F,1,Partial College,Bronze,Skilled Manual,Y,3,$50K - $70K,0,c1127,loc100
865,M,F,1,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,0,c1129,loc100
866,S,M,2,Partial College,Bronze,Professional,N,1,$90K - $110K,0,c1130,loc100
867,S,M,4,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,c1131,loc100
868,M,F,1,Graduate Degree,Bronze,Professional,Y,3,$130K - $150K,1,c1133,loc100
869,S,F,5,Bachelors Degree,Normal,Professional,Y,0,$10K - $30K,0,c1137,loc100
870,M,M,4,High School Degree,Bronze,Manual,N,3,$30K - $50K,4,c1139,loc100
871,M,M,4,Bachelors Degree,Golden,Management,Y,3,$50K - $70K,4,c1140,loc100
872,M,F,1,Partial College,Bronze,Professional,Y,3,$30K - $50K,0,c1141,loc100
873,S,F,1,Partial College,Bronze,Management,Y,4,$110K - $130K,0,c1142,loc100
874,S,F,1,High School Degree,Bronze,Manual,N,1,$30K - $50K,0,c1143,loc100
875,S,F,5,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,0,c1144,loc100
876,M,F,3,High School Degree,Normal,Manual,N,2,$10K - $30K,2,c1145,loc100
877,M,F,5,High School Degree,Golden,Skilled Manual,Y,3,$30K - $50K,5,c1146,loc100
878,S,M,3,Bachelors Degree,Bronze,Professional,N,2,$50K - $70K,0,c1148,loc100
879,S,F,3,High School Degree,Bronze,Manual,Y,2,$30K - $50K,0,c1150,loc100
880,S,M,0,High School Degree,Bronze,Manual,N,2,$30K - $50K,0,c1151,loc100
881,M,M,3,Partial College,Golden,Professional,Y,3,$30K - $50K,3,c1152,loc100
882,M,M,2,Graduate Degree,Silver,Professional,Y,1,$150K +,1,c1154,loc100
883,M,M,3,High School Degree,Bronze,Manual,Y,4,$30K - $50K,2,c1157,loc100
884,M,M,5,High School Degree,Golden,Management,Y,3,$110K - $130K,3,c1158,loc100
885,M,F,3,Bachelors Degree,Bronze,Management,Y,2,$70K - $90K,0,c1159,loc100
886,S,M,1,High School Degree,Bronze,Skilled Manual,N,4,$30K - $50K,0,c1160,loc100
887,S,F,0,Partial High School,Normal,Manual,N,1,$10K - $30K,0,c1162,loc100
888,M,M,4,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,2,c1164,loc100
889,S,F,2,High School Degree,Bronze,Skilled Manual,N,2,$50K - $70K,0,c1165,loc100
890,S,M,3,Partial High School,Golden,Skilled Manual,Y,1,$10K - $30K,0,c1166,loc100
891,S,F,4,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,0,c1167,loc100
892,S,M,1,Partial High School,Golden,Professional,Y,3,$110K - $130K,0,c1168,loc100
893,S,M,4,Graduate Degree,Silver,Management,Y,2,$90K - $110K,0,c1169,loc100
894,S,M,3,Bachelors Degree,Bronze,Professional,Y,1,$50K - $70K,0,c1171,loc100
895,S,F,0,Bachelors Degree,Bronze,Management,Y,2,$70K - $90K,0,c1173,loc100
896,S,M,4,High School Degree,Bronze,Skilled Manual,Y,3,$30K - $50K,0,c1174,loc100
897,M,F,2,High School Degree,Bronze,Manual,N,2,$30K - $50K,2,c1176,loc100
898,M,M,3,Partial High School,Normal,Manual,N,0,$10K - $30K,3,c1177,loc100
899,S,F,1,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,c1178,loc100
900,M,M,1,High School Degree,Bronze,Manual,N,4,$30K - $50K,1,c1179,loc110
901,M,F,2,Bachelors Degree,Silver,Management,Y,2,$70K - $90K,0,c1180,loc110
902,M,M,3,Bachelors Degree,Golden,Professional,Y,3,$50K - $70K,3,c1182,loc110
903,S,M,1,Bachelors Degree,Silver,Professional,Y,3,$150K +,0,c1183,loc110
904,S,F,4,Partial High School,Silver,Management,Y,2,$90K - $110K,0,c1184,loc110
905,S,F,2,High School Degree,Bronze,Professional,Y,3,$130K - $150K,0,c1185,loc110
906,M,F,1,Bachelors Degree,Bronze,Professional,Y,1,$50K - $70K,0,c1186,loc110
907,S,F,3,High School Degree,Bronze,Skilled Manual,N,3,$30K - $50K,0,c1187,loc110
908,M,M,3,Bachelors Degree,Golden,Professional,Y,2,$90K - $110K,3,c1192,loc113
909,M,M,5,High School Degree,Bronze,Skilled Manual,Y,1,$30K - $50K,0,c1195,loc113
910,M,F,4,Partial High School,Golden,Skilled Manual,Y,2,$50K - $70K,4,c1197,loc113
911,S,F,1,Bachelors Degree,Bronze,Professional,N,1,$50K - $70K,0,c1198,loc113
912,M,F,1,Partial College,Bronze,Management,Y,1,$50K - $70K,1,c1199,loc113
913,M,M,2,Bachelors Degree,Bronze,Management,Y,3,$90K - $110K,1,c1201,loc113
914,S,F,4,High School Degree,Silver,Professional,Y,2,$150K +,0,c1206,loc113
915,M,M,3,High School Degree,Golden,Manual,Y,3,$50K - $70K,3,c1209,loc113
916,M,F,4,Bachelors Degree,Silver,Professional,Y,2,$70K - $90K,2,c1211,loc113
917,S,M,4,Partial College,Bronze,Skilled Manual,N,2,$30K - $50K,0,c1212,loc113
918,M,M,1,Bachelors Degree,Bronze,Professional,Y,2,$70K - $90K,1,c1215,loc113
919,M,M,1,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,c1216,loc113
920,M,F,2,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,c1217,loc113
921,S,F,4,Partial High School,Bronze,Skilled Manual,N,2,$30K - $50K,0,c1218,loc113
922,S,M,4,Partial High School,Normal,Manual,N,1,$10K - $30K,0,c1219,loc113
923,S,F,5,Partial High School,Silver,Skilled Manual,N,1,$10K - $30K,0,c1221,loc113
924,M,M,1,Partial High School,Bronze,Manual,Y,3,$50K - $70K,0,c1223,loc113
925,S,F,2,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,c1224,loc113
926,M,F,0,Bachelors Degree,Normal,Professional,Y,3,$70K - $90K,0,c1225,loc113
927,M,M,4,High School Degree,Golden,Skilled Manual,Y,1,$30K - $50K,2,c1228,loc113
928,S,M,1,Bachelors Degree,Bronze,Management,N,4,$50K - $70K,0,c1230,loc113
929,S,M,1,Partial College,Normal,Management,Y,1,$130K - $150K,0,c1231,loc126
930,S,F,2,High School Degree,Bronze,Professional,Y,2,$70K - $90K,0,c1232,loc126
931,S,M,0,Bachelors Degree,Bronze,Management,Y,1,$50K - $70K,0,c1233,loc126
932,M,F,5,Bachelors Degree,Bronze,Professional,Y,3,$70K - $90K,1,c1235,loc126
933,M,M,3,Bachelors Degree,Silver,Professional,Y,4,$150K +,1,c1236,loc126
934,S,F,4,Bachelors Degree,Silver,Management,Y,3,$50K - $70K,0,c1238,loc126
935,S,F,4,Partial High School,Normal,Manual,Y,0,$10K - $30K,0,c1246,loc0
936,S,M,3,Graduate Degree,Bronze,Professional,Y,3,$130K - $150K,0,c1259,loc0
937,S,M,1,High School Degree,Normal,Manual,N,1,$30K - $50K,0,c1262,loc0
938,M,M,4,Partial College,Bronze,Management,Y,3,$30K - $50K,2,c1263,loc0
939,M,M,1,Partial High School,Normal,Manual,Y,0,$10K - $30K,0,c1265,loc0
940,S,F,2,Bachelors Degree,Silver,Professional,N,3,$50K - $70K,0,c1274,loc0
941,M,F,3,Bachelors Degree,Bronze,Management,Y,1,$50K - $70K,2,c1275,loc0
942,M,F,5,Graduate Degree,Golden,Management,Y,3,$70K - $90K,3,c1277,loc0
943,M,M,5,Partial High School,Normal,Manual,Y,1,$10K - $30K,4,c1278,loc0
944,S,M,5,Partial High School,Bronze,Professional,Y,2,$90K - $110K,0,c1279,loc0
945,M,F,2,Graduate Degree,Bronze,Management,Y,2,$70K - $90K,1,c1281,loc0
946,S,M,4,Bachelors Degree,Normal,Professional,Y,3,$70K - $90K,0,c1283,loc0
947,S,M,5,Graduate Degree,Golden,Professional,Y,4,$110K - $130K,0,c1286,loc0
948,S,M,4,High School Degree,Golden,Manual,Y,2,$30K - $50K,0,c1288,loc0
949,M,M,2,Partial College,Bronze,Professional,Y,1,$130K - $150K,2,c1292,loc0
950,S,M,3,High School Degree,Bronze,Skilled Manual,Y,2,$30K - $50K,0,c1293,loc0
951,M,M,1,Bachelors Degree,Bronze,Professional,Y,4,$70K - $90K,0,c1296,loc0
952,M,F,3,High School Degree,Golden,Manual,N,3,$30K - $50K,3,c1298,loc0
953,S,M,5,High School Degree,Bronze,Skilled Manual,Y,2,$30K - $50K,0,c1300,loc0
954,M,M,2,High School Degree,Bronze,Management,N,2,$130K - $150K,1,c1306,loc0
955,S,F,1,Bachelors Degree,Silver,Professional,N,2,$50K - $70K,0,c1307,loc0
956,S,F,2,High School Degree,Bronze,Skilled Manual,Y,2,$30K - $50K,0,c1311,loc0
957,S,F,1,High School Degree,Bronze,Manual,N,2,$30K - $50K,0,c1312,loc0
958,S,F,4,Bachelors Degree,Bronze,Management,Y,3,$50K - $70K,0,c1314,loc0
959,M,M,3,High School Degree,Golden,Professional,Y,3,$130K - $150K,3,c1317,loc0
