"store_city","store_state","store_type","store_sales_in_millions"
"Guadalajara","Jalisco","Small Grocery",2.76
"Hidalgo","Zacatecas","Deluxe Supermarket",2.76
"Hidalgo","Zacatecas","Mid-Size Grocery",2.76
"Los Angeles","CA","Supermarket",2.76
"Merida","Yucatan","Deluxe Supermarket",2.76
"Mexico City","DF","Mid-Size Grocery",2.76
"Orizaba","Veracruz","Supermarket",2.76
"Portland","OR","Supermarket",2.76
"Salem","OR","Deluxe Supermarket",2.76
"San Francisco","CA","Small Grocery",2.76
"Seattle","WA","Supermarket",2.76
"Spokane","WA","Supermarket",2.76
"Tacoma","WA","Deluxe Supermarket",2.76
"Vancouver","BC","Deluxe Supermarket",2.76
"Victoria","BC","Mid-Size Grocery",2.76
"Bellingham","WA","Small Grocery",2.77
"Guadalajara","Jalisco","Small Grocery",2.77
"Acapulco","Guerrero","Supermarket",2.78
"Bellingham","WA","Small Grocery",2.78
"Beverly Hills","CA","Gourmet Supermarket",2.78
"Bremerton","WA","Supermarket",2.78
"Camacho","Zacatecas","Gourmet Supermarket",2.78
"Guadalajara","Jalisco","Small Grocery",2.78
"Hidalgo","Zacatecas","Deluxe Supermarket",2.78
"Los Angeles","CA","Supermarket",2.78
"Merida","Yucatan","Deluxe Supermarket",2.78
"Orizaba","Veracruz","Supermarket",2.78
"Portland","OR","Supermarket",2.78
"Salem","OR","Deluxe Supermarket",2.78
"San Francisco","CA","Small Grocery",2.78
"Seattle","WA","Supermarket",2.78
"Spokane","WA","Supermarket",2.78
"Tacoma","WA","Deluxe Supermarket",2.78
"Acapulco","Guerrero","Supermarket",2.79
"Beverly Hills","CA","Gourmet Supermarket",2.79
"Bremerton","WA","Supermarket",2.79
"Camacho","Zacatecas","Gourmet Supermarket",2.79
"Guadalajara","Jalisco","Small Grocery",2.79
"Hidalgo","Zacatecas","Deluxe Supermarket",2.79
"Hidalgo","Zacatecas","Mid-Size Grocery",2.79
"Los Angeles","CA","Supermarket",2.79
"Merida","Yucatan","Deluxe Supermarket",2.79
"Mexico City","DF","Mid-Size Grocery",2.79
"Orizaba","Veracruz","Supermarket",2.79
"Portland","OR","Supermarket",2.79
"Salem","OR","Deluxe Supermarket",2.79
"San Francisco","CA","Small Grocery",2.79
"Seattle","WA","Supermarket",2.79
"Spokane","WA","Supermarket",2.79
"Tacoma","WA","Deluxe Supermarket",2.79
"Vancouver","BC","Deluxe Supermarket",2.79
"Victoria","BC","Mid-Size Grocery",2.79
"Acapulco","Guerrero","Supermarket",2.8
"Bellingham","WA","Small Grocery",2.8
"Beverly Hills","CA","Gourmet Supermarket",2.8
"Bremerton","WA","Supermarket",2.8
"Camacho","Zacatecas","Gourmet Supermarket",2.8
"Hidalgo","Zacatecas","Deluxe Supermarket",2.8
"Hidalgo","Zacatecas","Mid-Size Grocery",2.8
"Los Angeles","CA","Supermarket",2.8
"Merida","Yucatan","Deluxe Supermarket",2.8
"Mexico City","DF","Mid-Size Grocery",2.8
"Orizaba","Veracruz","Supermarket",2.8
"Portland","OR","Supermarket",2.8
"Salem","OR","Deluxe Supermarket",2.8
"San Francisco","CA","Small Grocery",2.8
"Seattle","WA","Supermarket",2.8
"Spokane","WA","Supermarket",2.8
"Tacoma","WA","Deluxe Supermarket",2.8
"Vancouver","BC","Deluxe Supermarket",2.8
"Victoria","BC","Mid-Size Grocery",2.8
"Bellingham","WA","Small Grocery",2.81
"San Francisco","CA","Small Grocery",2.81
"Bellingham","WA","Small Grocery",2.82
"Beverly Hills","CA","Gourmet Supermarket",2.82
"Bremerton","WA","Supermarket",2.82
"Camacho","Zacatecas","Gourmet Supermarket",2.82
"Guadalajara","Jalisco","Small Grocery",2.82
"Los Angeles","CA","Supermarket",2.82
"Orizaba","Veracruz","Supermarket",2.82
"Portland","OR","Supermarket",2.82
"Salem","OR","Deluxe Supermarket",2.82
"San Francisco","CA","Small Grocery",2.82
"Seattle","WA","Supermarket",2.82
"Spokane","WA","Supermarket",2.82
"Tacoma","WA","Deluxe Supermarket",2.82
"Vancouver","BC","Deluxe Supermarket",2.82
"Bellingham","WA","Small Grocery",2.83
"San Francisco","CA","Small Grocery",2.83
"Acapulco","Guerrero","Supermarket",2.84
"Bellingham","WA","Small Grocery",2.84
"Beverly Hills","CA","Gourmet Supermarket",2.84
"Bremerton","WA","Supermarket",2.84
"Camacho","Zacatecas","Gourmet Supermarket",2.84
"Guadalajara","Jalisco","Small Grocery",2.84
"Hidalgo","Zacatecas","Deluxe Supermarket",2.84
"Hidalgo","Zacatecas","Mid-Size Grocery",2.84
"Los Angeles","CA","Supermarket",2.84
"Merida","Yucatan","Deluxe Supermarket",2.84
"Mexico City","DF","Mid-Size Grocery",2.84
"Orizaba","Veracruz","Supermarket",2.84
"Portland","OR","Supermarket",2.84
"Salem","OR","Deluxe Supermarket",2.84
"San Francisco","CA","Small Grocery",2.84
"Seattle","WA","Supermarket",2.84
"Spokane","WA","Supermarket",2.84
"Tacoma","WA","Deluxe Supermarket",2.84
"Vancouver","BC","Deluxe Supermarket",2.84
"Victoria","BC","Mid-Size Grocery",2.84
"Acapulco","Guerrero","Supermarket",2.85
"Beverly Hills","CA","Gourmet Supermarket",2.85
"Bremerton","WA","Supermarket",2.85
"Camacho","Zacatecas","Gourmet Supermarket",2.85
"Guadalajara","Jalisco","Small Grocery",2.85
"Hidalgo","Zacatecas","Deluxe Supermarket",2.85
"Hidalgo","Zacatecas","Mid-Size Grocery",2.85
"Los Angeles","CA","Supermarket",2.85
"Merida","Yucatan","Deluxe Supermarket",2.85
"Mexico City","DF","Mid-Size Grocery",2.85
"Orizaba","Veracruz","Supermarket",2.85
"Portland","OR","Supermarket",2.85
"Salem","OR","Deluxe Supermarket",2.85
"San Francisco","CA","Small Grocery",2.85
"Seattle","WA","Supermarket",2.85
"Spokane","WA","Supermarket",2.85
"Tacoma","WA","Deluxe Supermarket",2.85
"Vancouver","BC","Deluxe Supermarket",2.85
"Victoria","BC","Mid-Size Grocery",2.85
"Acapulco","Guerrero","Supermarket",2.86
"Bellingham","WA","Small Grocery",2.86
"Beverly Hills","CA","Gourmet Supermarket",2.86
"Bremerton","WA","Supermarket",2.86
"Camacho","Zacatecas","Gourmet Supermarket",2.86
"Guadalajara","Jalisco","Small Grocery",2.86
"Hidalgo","Zacatecas","Deluxe Supermarket",2.86
"Hidalgo","Zacatecas","Mid-Size Grocery",2.86
"Los Angeles","CA","Supermarket",2.86
"Merida","Yucatan","Deluxe Supermarket",2.86
"Mexico City","DF","Mid-Size Grocery",2.86
"Orizaba","Veracruz","Supermarket",2.86
"Portland","OR","Supermarket",2.86
"Salem","OR","Deluxe Supermarket",2.86
"San Francisco","CA","Small Grocery",2.86
"Seattle","WA","Supermarket",2.86
"Spokane","WA","Supermarket",2.86
"Tacoma","WA","Deluxe Supermarket",2.86
"Vancouver","BC","Deluxe Supermarket",2.86
"Victoria","BC","Mid-Size Grocery",2.86
"Bellingham","WA","Small Grocery",2.87
"Guadalajara","Jalisco","Small Grocery",2.87
"Acapulco","Guerrero","Supermarket",2.88
"Bellingham","WA","Small Grocery",2.88
"Beverly Hills","CA","Gourmet Supermarket",2.88
"Bremerton","WA","Supermarket",2.88
"Camacho","Zacatecas","Gourmet Supermarket",2.88
"Guadalajara","Jalisco","Small Grocery",2.88
"Hidalgo","Zacatecas","Deluxe Supermarket",2.88
"Hidalgo","Zacatecas","Mid-Size Grocery",2.88
"Los Angeles","CA","Supermarket",2.88
"Merida","Yucatan","Deluxe Supermarket",2.88
"Mexico City","DF","Mid-Size Grocery",2.88
"Orizaba","Veracruz","Supermarket",2.88
"Portland","OR","Supermarket",2.88
"Salem","OR","Deluxe Supermarket",2.88
"San Francisco","CA","Small Grocery",2.88
"Seattle","WA","Supermarket",2.88
"Spokane","WA","Supermarket",2.88
"Tacoma","WA","Deluxe Supermarket",2.88
"Vancouver","BC","Deluxe Supermarket",2.88
"Bellingham","WA","Small Grocery",2.89
"San Francisco","CA","Small Grocery",2.89
"Acapulco","Guerrero","Supermarket",2.9
"Bellingham","WA","Small Grocery",2.9
"Beverly Hills","CA","Gourmet Supermarket",2.9
"Bremerton","WA","Supermarket",2.9
"Hidalgo","Zacatecas","Deluxe Supermarket",2.9
"Los Angeles","CA","Supermarket",2.9
"Merida","Yucatan","Deluxe Supermarket",2.9
"Mexico City","DF","Mid-Size Grocery",2.9
"Orizaba","Veracruz","Supermarket",2.9
"Portland","OR","Supermarket",2.9
"Salem","OR","Deluxe Supermarket",2.9
"San Francisco","CA","Small Grocery",2.9
"Seattle","WA","Supermarket",2.9
"Spokane","WA","Supermarket",2.9
"Tacoma","WA","Deluxe Supermarket",2.9
"Vancouver","BC","Deluxe Supermarket",2.9
"Acapulco","Guerrero","Supermarket",2.91
"Bellingham","WA","Small Grocery",2.91
"Beverly Hills","CA","Gourmet Supermarket",2.91
"Bremerton","WA","Supermarket",2.91
"Camacho","Zacatecas","Gourmet Supermarket",2.91
"Hidalgo","Zacatecas","Deluxe Supermarket",2.91
"Los Angeles","CA","Supermarket",2.91
"Merida","Yucatan","Deluxe Supermarket",2.91
"Mexico City","DF","Mid-Size Grocery",2.91
"Orizaba","Veracruz","Supermarket",2.91
"Portland","OR","Supermarket",2.91
"Salem","OR","Deluxe Supermarket",2.91
"San Francisco","CA","Small Grocery",2.91
"Seattle","WA","Supermarket",2.91
"Spokane","WA","Supermarket",2.91
"Tacoma","WA","Deluxe Supermarket",2.91
"Vancouver","BC","Deluxe Supermarket",2.91
"Acapulco","Guerrero","Supermarket",2.92
"Bellingham","WA","Small Grocery",2.92
"Beverly Hills","CA","Gourmet Supermarket",2.92
"Bremerton","WA","Supermarket",2.92
"Camacho","Zacatecas","Gourmet Supermarket",2.92
"Guadalajara","Jalisco","Small Grocery",2.92
"Hidalgo","Zacatecas","Deluxe Supermarket",2.92
"Los Angeles","CA","Supermarket",2.92
"Merida","Yucatan","Deluxe Supermarket",2.92
"Mexico City","DF","Mid-Size Grocery",2.92
"Orizaba","Veracruz","Supermarket",2.92
"Portland","OR","Supermarket",2.92
"Salem","OR","Deluxe Supermarket",2.92
"San Francisco","CA","Small Grocery",2.92
"Seattle","WA","Supermarket",2.92
"Spokane","WA","Supermarket",2.92
"Tacoma","WA","Deluxe Supermarket",2.92
"Vancouver","BC","Deluxe Supermarket",2.92
"Victoria","BC","Mid-Size Grocery",2.92
"Bellingham","WA","Small Grocery",2.93
"Guadalajara","Jalisco","Small Grocery",2.93
"San Francisco","CA","Small Grocery",2.93
"Acapulco","Guerrero","Supermarket",2.94
"Bellingham","WA","Small Grocery",2.94
"Beverly Hills","CA","Gourmet Supermarket",2.94
"Bremerton","WA","Supermarket",2.94
"Camacho","Zacatecas","Gourmet Supermarket",2.94
"Hidalgo","Zacatecas","Deluxe Supermarket",2.94
"Los Angeles","CA","Supermarket",2.94
"Merida","Yucatan","Deluxe Supermarket",2.94
"Mexico City","DF","Mid-Size Grocery",2.94
"Orizaba","Veracruz","Supermarket",2.94
"Portland","OR","Supermarket",2.94
"Salem","OR","Deluxe Supermarket",2.94
"San Francisco","CA","Small Grocery",2.94
"Seattle","WA","Supermarket",2.94
"Spokane","WA","Supermarket",2.94
"Tacoma","WA","Deluxe Supermarket",2.94
"Vancouver","BC","Deluxe Supermarket",2.94
"Victoria","BC","Mid-Size Grocery",2.94
"Bellingham","WA","Small Grocery",2.95
"Merida","Yucatan","Deluxe Supermarket",2.95
"San Francisco","CA","Small Grocery",2.95
"Seattle","WA","Supermarket",2.95
"Spokane","WA","Supermarket",2.95
"Vancouver","BC","Deluxe Supermarket",2.95
"Acapulco","Guerrero","Supermarket",2.96
"Bellingham","WA","Small Grocery",2.96
"Beverly Hills","CA","Gourmet Supermarket",2.96
"Bremerton","WA","Supermarket",2.96
"Camacho","Zacatecas","Gourmet Supermarket",2.96
"Guadalajara","Jalisco","Small Grocery",2.96
"Hidalgo","Zacatecas","Deluxe Supermarket",2.96
"Hidalgo","Zacatecas","Mid-Size Grocery",2.96
"Los Angeles","CA","Supermarket",2.96
"Merida","Yucatan","Deluxe Supermarket",2.96
"Mexico City","DF","Mid-Size Grocery",2.96
"Orizaba","Veracruz","Supermarket",2.96
"Portland","OR","Supermarket",2.96
"Salem","OR","Deluxe Supermarket",2.96
"San Francisco","CA","Small Grocery",2.96
"Seattle","WA","Supermarket",2.96
"Spokane","WA","Supermarket",2.96
"Tacoma","WA","Deluxe Supermarket",2.96
"Vancouver","BC","Deluxe Supermarket",2.96
"Victoria","BC","Mid-Size Grocery",2.96
"Acapulco","Guerrero","Supermarket",2.97
"Bellingham","WA","Small Grocery",2.97
"Beverly Hills","CA","Gourmet Supermarket",2.97
"Bremerton","WA","Supermarket",2.97
"Camacho","Zacatecas","Gourmet Supermarket",2.97
"Hidalgo","Zacatecas","Deluxe Supermarket",2.97
"Los Angeles","CA","Supermarket",2.97
"Merida","Yucatan","Deluxe Supermarket",2.97
"Mexico City","DF","Mid-Size Grocery",2.97
"Orizaba","Veracruz","Supermarket",2.97
"Portland","OR","Supermarket",2.97
"Salem","OR","Deluxe Supermarket",2.97
"Seattle","WA","Supermarket",2.97
"Spokane","WA","Supermarket",2.97
"Tacoma","WA","Deluxe Supermarket",2.97
"Vancouver","BC","Deluxe Supermarket",2.97
"Acapulco","Guerrero","Supermarket",2.98
"Bellingham","WA","Small Grocery",2.98
"Beverly Hills","CA","Gourmet Supermarket",2.98
"Bremerton","WA","Supermarket",2.98
"Camacho","Zacatecas","Gourmet Supermarket",2.98
"Guadalajara","Jalisco","Small Grocery",2.98
"Hidalgo","Zacatecas","Deluxe Supermarket",2.98
"Hidalgo","Zacatecas","Mid-Size Grocery",2.98
"Los Angeles","CA","Supermarket",2.98
"Merida","Yucatan","Deluxe Supermarket",2.98
"Mexico City","DF","Mid-Size Grocery",2.98
"Orizaba","Veracruz","Supermarket",2.98
"Portland","OR","Supermarket",2.98
"Salem","OR","Deluxe Supermarket",2.98
"San Francisco","CA","Small Grocery",2.98
"Seattle","WA","Supermarket",2.98
"Spokane","WA","Supermarket",2.98
"Tacoma","WA","Deluxe Supermarket",2.98
"Vancouver","BC","Deluxe Supermarket",2.98
"Bellingham","WA","Small Grocery",2.99
"Guadalajara","Jalisco","Small Grocery",2.99
"Acapulco","Guerrero","Supermarket",3
"Bellingham","WA","Small Grocery",3
"Beverly Hills","CA","Gourmet Supermarket",3
"Bremerton","WA","Supermarket",3
"Camacho","Zacatecas","Gourmet Supermarket",3
"Hidalgo","Zacatecas","Deluxe Supermarket",3
"Hidalgo","Zacatecas","Mid-Size Grocery",3
"Los Angeles","CA","Supermarket",3
"Merida","Yucatan","Deluxe Supermarket",3
"Mexico City","DF","Mid-Size Grocery",3
"Orizaba","Veracruz","Supermarket",3
"Portland","OR","Supermarket",3
"Salem","OR","Deluxe Supermarket",3
"San Francisco","CA","Small Grocery",3
"Seattle","WA","Supermarket",3
"Spokane","WA","Supermarket",3
"Tacoma","WA","Deluxe Supermarket",3
"Vancouver","BC","Deluxe Supermarket",3
"Victoria","BC","Mid-Size Grocery",3
"Beverly Hills","CA","Gourmet Supermarket",3.02
"Bremerton","WA","Supermarket",3.02
"Hidalgo","Zacatecas","Deluxe Supermarket",3.02
"Hidalgo","Zacatecas","Mid-Size Grocery",3.02
"Los Angeles","CA","Supermarket",3.02
"Portland","OR","Supermarket",3.02
"Salem","OR","Deluxe Supermarket",3.02
"San Francisco","CA","Small Grocery",3.02
"Seattle","WA","Supermarket",3.02
"Spokane","WA","Supermarket",3.02
"Tacoma","WA","Deluxe Supermarket",3.02
"Vancouver","BC","Deluxe Supermarket",3.02
"Acapulco","Guerrero","Supermarket",3.04
"Bellingham","WA","Small Grocery",3.04
"Beverly Hills","CA","Gourmet Supermarket",3.04
"Bremerton","WA","Supermarket",3.04
"Camacho","Zacatecas","Gourmet Supermarket",3.04
"Guadalajara","Jalisco","Small Grocery",3.04
"Hidalgo","Zacatecas","Deluxe Supermarket",3.04
"Hidalgo","Zacatecas","Mid-Size Grocery",3.04
"Los Angeles","CA","Supermarket",3.04
"Merida","Yucatan","Deluxe Supermarket",3.04
"Mexico City","DF","Mid-Size Grocery",3.04
"Orizaba","Veracruz","Supermarket",3.04
"Portland","OR","Supermarket",3.04
"Salem","OR","Deluxe Supermarket",3.04
"San Francisco","CA","Small Grocery",3.04
"Seattle","WA","Supermarket",3.04
"Spokane","WA","Supermarket",3.04
"Tacoma","WA","Deluxe Supermarket",3.04
"Vancouver","BC","Deluxe Supermarket",3.04
"Acapulco","Guerrero","Supermarket",3.05
"Portland","OR","Supermarket",3.05
"Salem","OR","Deluxe Supermarket",3.05
"Seattle","WA","Supermarket",3.05
"Acapulco","Guerrero","Supermarket",3.06
"Beverly Hills","CA","Gourmet Supermarket",3.06
"Bremerton","WA","Supermarket",3.06
"Camacho","Zacatecas","Gourmet Supermarket",3.06
"Guadalajara","Jalisco","Small Grocery",3.06
"Hidalgo","Zacatecas","Deluxe Supermarket",3.06
"Merida","Yucatan","Deluxe Supermarket",3.06
"Orizaba","Veracruz","Supermarket",3.06
"Portland","OR","Supermarket",3.06
"Salem","OR","Deluxe Supermarket",3.06
"Seattle","WA","Supermarket",3.06
"Spokane","WA","Supermarket",3.06
"Tacoma","WA","Deluxe Supermarket",3.06
"Vancouver","BC","Deluxe Supermarket",3.06
"Acapulco","Guerrero","Supermarket",3.08
"Bellingham","WA","Small Grocery",3.08
"Beverly Hills","CA","Gourmet Supermarket",3.08
"Bremerton","WA","Supermarket",3.08
"Camacho","Zacatecas","Gourmet Supermarket",3.08
"Guadalajara","Jalisco","Small Grocery",3.08
"Hidalgo","Zacatecas","Deluxe Supermarket",3.08
"Hidalgo","Zacatecas","Mid-Size Grocery",3.08
"Los Angeles","CA","Supermarket",3.08
"Merida","Yucatan","Deluxe Supermarket",3.08
"Mexico City","DF","Mid-Size Grocery",3.08
"Orizaba","Veracruz","Supermarket",3.08
"Portland","OR","Supermarket",3.08
"Salem","OR","Deluxe Supermarket",3.08
"San Francisco","CA","Small Grocery",3.08
"Seattle","WA","Supermarket",3.08
"Spokane","WA","Supermarket",3.08
"Tacoma","WA","Deluxe Supermarket",3.08
"Vancouver","BC","Deluxe Supermarket",3.08
"Acapulco","Guerrero","Supermarket",3.1
"Bellingham","WA","Small Grocery",3.1
"Beverly Hills","CA","Gourmet Supermarket",3.1
"Bremerton","WA","Supermarket",3.1
"Camacho","Zacatecas","Gourmet Supermarket",3.1
"Guadalajara","Jalisco","Small Grocery",3.1
"Hidalgo","Zacatecas","Deluxe Supermarket",3.1
"Los Angeles","CA","Supermarket",3.1
"Merida","Yucatan","Deluxe Supermarket",3.1
"Mexico City","DF","Mid-Size Grocery",3.1
"Orizaba","Veracruz","Supermarket",3.1
"Portland","OR","Supermarket",3.1
"Salem","OR","Deluxe Supermarket",3.1
"San Francisco","CA","Small Grocery",3.1
"Seattle","WA","Supermarket",3.1
"Spokane","WA","Supermarket",3.1
"Tacoma","WA","Deluxe Supermarket",3.1
"Vancouver","BC","Deluxe Supermarket",3.1
"Victoria","BC","Mid-Size Grocery",3.1
"San Francisco","CA","Small Grocery",3.11
"Acapulco","Guerrero","Supermarket",3.12
"Bellingham","WA","Small Grocery",3.12
"Beverly Hills","CA","Gourmet Supermarket",3.12
"Bremerton","WA","Supermarket",3.12
"Camacho","Zacatecas","Gourmet Supermarket",3.12
"Hidalgo","Zacatecas","Deluxe Supermarket",3.12
"Hidalgo","Zacatecas","Mid-Size Grocery",3.12
"Los Angeles","CA","Supermarket",3.12
"Merida","Yucatan","Deluxe Supermarket",3.12
"Mexico City","DF","Mid-Size Grocery",3.12
"Orizaba","Veracruz","Supermarket",3.12
"Portland","OR","Supermarket",3.12
"Salem","OR","Deluxe Supermarket",3.12
"San Francisco","CA","Small Grocery",3.12
"Seattle","WA","Supermarket",3.12
"Spokane","WA","Supermarket",3.12
"Tacoma","WA","Deluxe Supermarket",3.12
"Vancouver","BC","Deluxe Supermarket",3.12
"Victoria","BC","Mid-Size Grocery",3.12
"Bellingham","WA","Small Grocery",3.13
"Guadalajara","Jalisco","Small Grocery",3.13
"Acapulco","Guerrero","Supermarket",3.14
"Bellingham","WA","Small Grocery",3.14
"Beverly Hills","CA","Gourmet Supermarket",3.14
"Bremerton","WA","Supermarket",3.14
"Camacho","Zacatecas","Gourmet Supermarket",3.14
"Guadalajara","Jalisco","Small Grocery",3.14
"Hidalgo","Zacatecas","Deluxe Supermarket",3.14
"Hidalgo","Zacatecas","Mid-Size Grocery",3.14
"Los Angeles","CA","Supermarket",3.14
"Merida","Yucatan","Deluxe Supermarket",3.14
"Mexico City","DF","Mid-Size Grocery",3.14
"Orizaba","Veracruz","Supermarket",3.14
"Portland","OR","Supermarket",3.14
"Salem","OR","Deluxe Supermarket",3.14
"San Francisco","CA","Small Grocery",3.14
"Seattle","WA","Supermarket",3.14
"Spokane","WA","Supermarket",3.14
"Tacoma","WA","Deluxe Supermarket",3.14
"Vancouver","BC","Deluxe Supermarket",3.14
"Bellingham","WA","Small Grocery",3.15
"Bremerton","WA","Supermarket",3.15
"Hidalgo","Zacatecas","Mid-Size Grocery",3.15
"Merida","Yucatan","Deluxe Supermarket",3.15
"Portland","OR","Supermarket",3.15
"Seattle","WA","Supermarket",3.15
"Acapulco","Guerrero","Supermarket",3.16
"Bellingham","WA","Small Grocery",3.16
"Beverly Hills","CA","Gourmet Supermarket",3.16
"Bremerton","WA","Supermarket",3.16
"Camacho","Zacatecas","Gourmet Supermarket",3.16
"Hidalgo","Zacatecas","Deluxe Supermarket",3.16
"Hidalgo","Zacatecas","Mid-Size Grocery",3.16
"Los Angeles","CA","Supermarket",3.16
"Merida","Yucatan","Deluxe Supermarket",3.16
"Mexico City","DF","Mid-Size Grocery",3.16
"Orizaba","Veracruz","Supermarket",3.16
"Portland","OR","Supermarket",3.16
"Salem","OR","Deluxe Supermarket",3.16
"San Francisco","CA","Small Grocery",3.16
"Seattle","WA","Supermarket",3.16
"Spokane","WA","Supermarket",3.16
"Tacoma","WA","Deluxe Supermarket",3.16
"Vancouver","BC","Deluxe Supermarket",3.16
"Victoria","BC","Mid-Size Grocery",3.16
"Bellingham","WA","Small Grocery",3.17
"Acapulco","Guerrero","Supermarket",3.18
"Bellingham","WA","Small Grocery",3.18
"Beverly Hills","CA","Gourmet Supermarket",3.18
"Bremerton","WA","Supermarket",3.18
"Guadalajara","Jalisco","Small Grocery",3.18
"Hidalgo","Zacatecas","Deluxe Supermarket",3.18
"Hidalgo","Zacatecas","Mid-Size Grocery",3.18
"Los Angeles","CA","Supermarket",3.18
"Merida","Yucatan","Deluxe Supermarket",3.18
"Mexico City","DF","Mid-Size Grocery",3.18
"Orizaba","Veracruz","Supermarket",3.18
"Portland","OR","Supermarket",3.18
"Salem","OR","Deluxe Supermarket",3.18
"San Francisco","CA","Small Grocery",3.18
"Seattle","WA","Supermarket",3.18
"Spokane","WA","Supermarket",3.18
"Tacoma","WA","Deluxe Supermarket",3.18
"Vancouver","BC","Deluxe Supermarket",3.18
"Bellingham","WA","Small Grocery",3.19
"Guadalajara","Jalisco","Small Grocery",3.19
"Acapulco","Guerrero","Supermarket",3.2
"Bellingham","WA","Small Grocery",3.2
"Beverly Hills","CA","Gourmet Supermarket",3.2
"Bremerton","WA","Supermarket",3.2
"Camacho","Zacatecas","Gourmet Supermarket",3.2
"Hidalgo","Zacatecas","Deluxe Supermarket",3.2
"Hidalgo","Zacatecas","Mid-Size Grocery",3.2
"Los Angeles","CA","Supermarket",3.2
"Merida","Yucatan","Deluxe Supermarket",3.2
"Mexico City","DF","Mid-Size Grocery",3.2
"Orizaba","Veracruz","Supermarket",3.2
"Portland","OR","Supermarket",3.2
"Salem","OR","Deluxe Supermarket",3.2
"San Francisco","CA","Small Grocery",3.2
"Seattle","WA","Supermarket",3.2
"Spokane","WA","Supermarket",3.2
"Tacoma","WA","Deluxe Supermarket",3.2
"Vancouver","BC","Deluxe Supermarket",3.2
"Victoria","BC","Mid-Size Grocery",3.2
"Bellingham","WA","Small Grocery",3.21
"San Francisco","CA","Small Grocery",3.21
"Acapulco","Guerrero","Supermarket",3.22
"Bellingham","WA","Small Grocery",3.22
"Beverly Hills","CA","Gourmet Supermarket",3.22
"Bremerton","WA","Supermarket",3.22
"Camacho","Zacatecas","Gourmet Supermarket",3.22
"Hidalgo","Zacatecas","Deluxe Supermarket",3.22
"Hidalgo","Zacatecas","Mid-Size Grocery",3.22
"Los Angeles","CA","Supermarket",3.22
"Merida","Yucatan","Deluxe Supermarket",3.22
"Orizaba","Veracruz","Supermarket",3.22
"Portland","OR","Supermarket",3.22
"Salem","OR","Deluxe Supermarket",3.22
"San Francisco","CA","Small Grocery",3.22
"Seattle","WA","Supermarket",3.22
"Spokane","WA","Supermarket",3.22
"Tacoma","WA","Deluxe Supermarket",3.22
"Vancouver","BC","Deluxe Supermarket",3.22
"Victoria","BC","Mid-Size Grocery",3.22
"Bellingham","WA","Small Grocery",3.23
"Acapulco","Guerrero","Supermarket",3.24
"Bellingham","WA","Small Grocery",3.24
"Beverly Hills","CA","Gourmet Supermarket",3.24
"Bremerton","WA","Supermarket",3.24
"Camacho","Zacatecas","Gourmet Supermarket",3.24
"Guadalajara","Jalisco","Small Grocery",3.24
"Hidalgo","Zacatecas","Deluxe Supermarket",3.24
"Hidalgo","Zacatecas","Mid-Size Grocery",3.24
"Los Angeles","CA","Supermarket",3.24
"Merida","Yucatan","Deluxe Supermarket",3.24
"Mexico City","DF","Mid-Size Grocery",3.24
"Orizaba","Veracruz","Supermarket",3.24
"Portland","OR","Supermarket",3.24
"Salem","OR","Deluxe Supermarket",3.24
"San Francisco","CA","Small Grocery",3.24
"Seattle","WA","Supermarket",3.24
"Spokane","WA","Supermarket",3.24
"Tacoma","WA","Deluxe Supermarket",3.24
"Vancouver","BC","Deluxe Supermarket",3.24
"Victoria","BC","Mid-Size Grocery",3.24
"Camacho","Zacatecas","Gourmet Supermarket",3.25
"Hidalgo","Zacatecas","Deluxe Supermarket",3.25
"Mexico City","DF","Mid-Size Grocery",3.25
"Portland","OR","Supermarket",3.25
"Bellingham","WA","Small Grocery",3.26
"Beverly Hills","CA","Gourmet Supermarket",3.26
"Camacho","Zacatecas","Gourmet Supermarket",3.26
"Hidalgo","Zacatecas","Deluxe Supermarket",3.26
"Hidalgo","Zacatecas","Mid-Size Grocery",3.26
"Los Angeles","CA","Supermarket",3.26
"Merida","Yucatan","Deluxe Supermarket",3.26
"Orizaba","Veracruz","Supermarket",3.26
"Portland","OR","Supermarket",3.26
"Salem","OR","Deluxe Supermarket",3.26
"San Francisco","CA","Small Grocery",3.26
"Seattle","WA","Supermarket",3.26
"Spokane","WA","Supermarket",3.26
"Tacoma","WA","Deluxe Supermarket",3.26
"Vancouver","BC","Deluxe Supermarket",3.26
"San Francisco","CA","Small Grocery",3.27
"Acapulco","Guerrero","Supermarket",3.28
"Bellingham","WA","Small Grocery",3.28
"Beverly Hills","CA","Gourmet Supermarket",3.28
"Bremerton","WA","Supermarket",3.28
"Camacho","Zacatecas","Gourmet Supermarket",3.28
"Guadalajara","Jalisco","Small Grocery",3.28
"Hidalgo","Zacatecas","Deluxe Supermarket",3.28
"Hidalgo","Zacatecas","Mid-Size Grocery",3.28
"Los Angeles","CA","Supermarket",3.28
"Merida","Yucatan","Deluxe Supermarket",3.28
"Mexico City","DF","Mid-Size Grocery",3.28
"Orizaba","Veracruz","Supermarket",3.28
"Portland","OR","Supermarket",3.28
"Salem","OR","Deluxe Supermarket",3.28
"San Francisco","CA","Small Grocery",3.28
"Seattle","WA","Supermarket",3.28
"Spokane","WA","Supermarket",3.28
"Tacoma","WA","Deluxe Supermarket",3.28
"Vancouver","BC","Deluxe Supermarket",3.28
