promotion_name,media_type,cost,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions
Two for One,"Daily Paper, Radio, TV",57.52,6.84,2.394,3
Super Savers,"Sunday Paper, Radio",64.99,4.86,1.701,3
Sales Days,Bulk Mail,116.74,2.8,1.26,5
Dollar Cutters,"Sunday Paper, Radio, TV",135.5,9.99,3.2967,3
Price Winners,"Daily Paper, Radio",114.6,2.4,1.2,2
Price Destroyers,"Daily Paper, Radio",62.26,9.52,4.6648,4
Sales Days,Bulk Mail,116.74,10.6,3.392,4
Savings Galore,"Sunday Paper, Radio",136.57,7.95,3.5775,3
Go For It,"Daily Paper, Radio, TV",100.55,10.6,5.088,4
Go For It,"Daily Paper, Radio, TV",100.55,9.52,3.1416,4
Big Time Discounts,In-Store Coupon,59.4,2.01,0.603,3
Sales Days,Bulk Mail,116.74,4.95,2.3265,3
Super Duper Savers,Daily Paper,100.91,2.68,1.2864,4
Super Duper Savers,Daily Paper,100.91,12.48,4.2432,4
Two for One,Bulk Mail,86.42,10.6,3.604,4
Wallet Savers,"Sunday Paper, Radio, TV",79.95,1.12,0.3472,2
Sales Days,Bulk Mail,116.74,4.56,1.6872,2
Big Time Discounts,In-Store Coupon,59.4,9.36,4.0248,3
Two for One,"Daily Paper, Radio, TV",57.52,2.92,0.9344,2
Green Light Days,Street Handout,133.42,6.84,3.078,3
Saving Days,Product Attachment,83.26,8.4,3.276,3
Savings Galore,"Sunday Paper, Radio, TV",61.65,3.3,1.551,2
High Roller Savings,Daily Paper,101.84,7.24,3.4028,4
Super Savers,"Sunday Paper, Radio",64.76,2.4,0.96,2
Price Savers,Cash Register Handout,128.2,9.36,2.9016,3
Price Savers,Cash Register Handout,128.2,6.95,2.502,5
Pick Your Savings,Radio,147.17,14.44,5.776,4
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,10.83,5.3067,3
Price Winners,"Sunday Paper, Radio",122.51,5.43,2.3349,3
High Roller Savings,Daily Paper,101.84,11.2,5.488,4
Price Destroyers,TV,135.92,4.76,2.3324,2
Price Savers,Cash Register Handout,128.2,10.36,4.144,4
High Roller Savings,Daily Paper,101.84,4.95,1.6335,3
Saving Days,Product Attachment,83.26,18.05,7.942,5
Bye Bye Baby,"Daily Paper, Radio, TV",58.16,6.84,2.1204,3
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,5.6,1.736,2
Save-It Sale,Daily Paper,81.79,4.8,1.488,4
Dollar Days,Sunday Paper,143.04,5.43,2.4978,3
Save-It Sale,Daily Paper,81.79,10.36,4.7656,4
Save-It Sale,Daily Paper,81.79,4.54,1.6798,2
You Save Days,Bulk Mail,131.81,7.77,3.5742,3
Dollar Days,Sunday Paper,143.04,4.62,1.9866,3
Save-It Sale,Daily Paper,81.79,11.0,4.73,4
Price Savers,Cash Register Handout,128.2,3.24,1.1664,2
Savings Galore,"Sunday Paper, Radio, TV",61.65,7.14,3.1416,3
Two for One,Daily Paper,68.97,3.6,1.116,3
Big Time Discounts,"Daily Paper, Radio, TV",146.41,3.6,1.512,3
Big Time Discounts,"Daily Paper, Radio, TV",146.41,6.66,2.331,2
Dollar Days,Sunday Paper,143.04,5.04,1.6632,3
Save-It Sale,Daily Paper,81.79,12.48,5.9904,4
You Save Days,Bulk Mail,131.81,6.6,2.508,4
Two for One,Daily Paper,68.97,4.95,2.1285,3
Pick Your Savings,Radio,147.17,8.72,3.1392,4
Save-It Sale,Daily Paper,81.79,4.95,1.782,3
You Save Days,Bulk Mail,131.81,6.6,2.574,4
Price Savers,Cash Register Handout,128.2,5.18,2.072,2
Big Time Discounts,"Daily Paper, Radio, TV",146.41,6.75,2.2275,3
Bye Bye Baby,"Daily Paper, Radio, TV",58.16,10.36,3.9368,4
You Save Days,Bulk Mail,131.81,1.34,0.5762,2
High Roller Savings,Daily Paper,101.84,3.6,1.296,3
Saving Days,Product Attachment,83.26,9.36,4.3992,3
High Roller Savings,Daily Paper,101.84,5.3,2.226,2
Weekend Markdown,Street Handout,53.37,3.04,0.9424,4
Price Winners,"Sunday Paper, Radio",122.51,6.81,2.9283,3
Price Destroyers,TV,135.92,9.08,3.9952,4
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,1.12,0.5152,2
Dollar Days,Sunday Paper,143.04,4.86,2.43,3
Sales Galore,Bulk Mail,96.55,7.22,3.3212,2
High Roller Savings,Daily Paper,101.84,11.0,3.41,4
High Roller Savings,Daily Paper,101.84,10.83,4.6569,3
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,9.0,4.14,4
Price Cutters,Product Attachment,129.2,6.6,3.168,4
One Day Sale,"Daily Paper, Radio, TV",85.88,5.43,2.3892,3
Two Day Sale,"Daily Paper, Radio",112.52,6.84,3.2148,3
Bye Bye Baby,"Daily Paper, Radio, TV",58.16,3.6,1.152,3
Two Day Sale,Sunday Paper,126.88,7.77,2.4864,3
Pick Your Savings,Sunday Paper,67.25,10.36,3.9368,4
Price Savers,Cash Register Handout,128.2,5.18,1.6576,2
Shelf Emptiers,Street Handout,137.34,9.36,4.5864,3
Double Down Sale,Daily Paper,55.96,4.5,1.44,2
You Save Days,Bulk Mail,131.81,2.24,0.8288,4
Sales Galore,TV,106.16,2.24,0.8736,4
Save-It Sale,Daily Paper,81.79,9.36,2.9952,3
You Save Days,Bulk Mail,131.81,4.8,2.016,4
Shelf Clearing Days,"Sunday Paper, Radio, TV",101.96,4.54,1.7706,2
One Day Sale,"Daily Paper, Radio, TV",85.88,1.68,0.5712,3
High Roller Savings,"Sunday Paper, Radio, TV",95.55,13.32,6.3936,4
Price Savers,Cash Register Handout,128.2,13.32,4.9284,4
Fantastic Discounts,Radio,137.46,6.75,3.0375,3
Fantastic Discounts,Radio,137.46,7.14,3.213,3
Price Cutters,Product Attachment,129.2,4.62,1.9866,3
Big Time Savings,Daily Paper,77.32,1.59,0.5724,3
One Day Sale,"Daily Paper, Radio, TV",85.88,4.36,1.7876,2
Two Day Sale,"Daily Paper, Radio",112.52,6.81,3.1326,3
Save-It Sale,Daily Paper,81.79,7.7,3.542,5
High Roller Savings,Daily Paper,101.84,2.92,0.9636,4
Big Time Savings,Daily Paper,77.32,2.4,0.96,2
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,9.08,2.724,4
Save-It Sale,Daily Paper,81.79,9.12,3.4656,4
Two Day Sale,"Daily Paper, Radio",149.75,6.24,2.5584,2
High Roller Savings,"Sunday Paper, Radio, TV",95.55,5.6,2.52,2
One Day Sale,"Daily Paper, Radio, TV",85.88,5.43,2.0091,3
Two for One,Daily Paper,68.97,2.4,1.128,2
Mystery Sale,"Daily Paper, Radio",68.84,2.12,0.9116,4
High Roller Savings,Daily Paper,101.84,7.14,2.499,3
Two Day Sale,"Daily Paper, Radio",112.52,4.38,1.4892,3
Mystery Sale,"Daily Paper, Radio",68.84,6.54,2.943,3
Big Promo,"Sunday Paper, Radio, TV",117.04,3.3,1.089,2
Sales Galore,Bulk Mail,96.55,4.62,1.5246,3
One Day Sale,"Daily Paper, Radio, TV",85.88,3.3,1.452,2
Save-It Sale,Daily Paper,81.79,2.92,1.4016,4
Fantastic Discounts,Radio,137.46,7.14,2.2848,3
Price Cutters,Product Attachment,129.2,3.24,1.4256,2
High Roller Savings,"Sunday Paper, Radio, TV",95.55,8.4,3.78,3
Best Savings,"Daily Paper, Radio, TV",53.82,6.16,2.4024,4
Pick Your Savings,Sunday Paper,67.25,3.08,1.2936,2
Two Day Sale,Sunday Paper,126.88,2.92,1.1388,4
Sales Galore,Bulk Mail,96.55,7.95,3.1005,3
One Day Sale,"Daily Paper, Radio, TV",85.88,1.52,0.6688,2
Big Promo,"Sunday Paper, Radio, TV",117.04,6.84,3.078,3
One Day Sale,"Daily Paper, Radio, TV",85.88,3.04,1.1856,4
Sales Galore,TV,106.16,5.84,2.628,4
One Day Sale,"Daily Paper, Radio, TV",85.88,6.66,2.331,2
You Save Days,Bulk Mail,131.81,4.38,1.9272,3
One Day Sale,"Daily Paper, Radio, TV",85.88,4.56,2.052,2
Save-It Sale,Daily Paper,81.79,2.68,0.9112,4
Price Cutters,Product Attachment,129.2,7.77,3.0303,3
High Roller Savings,Daily Paper,101.84,1.34,0.5628,2
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,6.81,3.3369,3
Free For All,"Sunday Paper, Radio",126.24,8.4,2.856,3
Free For All,Daily Paper,52.06,3.6,1.332,3
Price Savers,Product Attachment,62.27,7.22,2.4548,2
Sale Winners,Product Attachment,137.7,7.77,2.8749,3
Big Time Discounts,Product Attachment,109.93,1.12,0.5152,2
Money Savers,Cash Register Handout,53.01,8.4,3.192,3
Big Time Discounts,Product Attachment,109.93,5.84,1.8688,4
Free For All,Daily Paper,52.06,9.52,4.6648,4
Saving Days,"Daily Paper, Radio",118.36,3.04,1.1552,4
Green Light Days,Cash Register Handout,139.19,2.28,0.7752,3
Saving Days,"Daily Paper, Radio",118.36,6.81,2.6559,3
Weekend Markdown,Street Handout,117.4,5.04,1.7136,3
Weekend Markdown,Daily Paper,140.57,4.95,1.7325,3
Go For It,Product Attachment,119.3,6.81,2.043,3
You Save Days,TV,108.22,6.54,2.4198,3
You Save Days,TV,108.22,4.76,1.6184,2
Free For All,Daily Paper,52.06,5.04,1.6128,3
Free For All,Daily Paper,52.06,8.25,2.805,3
Unbeatable Price Savers,Product Attachment,124.36,7.14,3.3558,3
Price Destroyers,Radio,112.49,7.14,3.2844,3
High Roller Savings,TV,72.61,6.72,3.2256,4
Go For It,Product Attachment,119.3,6.72,2.7552,4
Go For It,Product Attachment,119.3,11.0,5.28,4
Saving Days,"Daily Paper, Radio",118.36,8.25,2.5575,3
Saving Days,"Daily Paper, Radio",118.36,7.24,2.9684,4
Free For All,Daily Paper,52.06,5.43,2.3892,3
Saving Days,"Daily Paper, Radio",118.36,8.72,3.3136,4
Sale Winners,Product Attachment,137.7,1.68,0.7392,3
Saving Days,"Daily Paper, Radio",118.36,7.14,2.5704,3
You Save Days,TV,108.22,11.2,4.256,4
Free For All,"Sunday Paper, Radio",126.24,2.01,0.9648,3
Free For All,"Sunday Paper, Radio",126.24,2.19,0.8322,3
Big Time Discounts,Product Attachment,109.93,1.46,0.6132,2
High Roller Savings,TV,72.61,6.84,2.736,3
High Roller Savings,TV,72.61,1.06,0.4346,2
Free For All,Daily Paper,52.06,3.6,1.764,3
Free For All,Daily Paper,52.06,6.72,2.8896,4
Weekend Markdown,Daily Paper,140.57,8.25,2.7225,3
Weekend Markdown,Street Handout,117.4,5.3,2.226,2
Go For It,Product Attachment,119.3,9.12,3.648,4
Go For It,Product Attachment,119.3,2.01,0.9246,3
Green Light Days,Cash Register Handout,139.19,13.32,5.5944,4
Price Destroyers,Radio,112.49,2.24,0.7616,4
Price Destroyers,Radio,112.49,1.06,0.4134,2
You Save Days,TV,108.22,3.24,1.62,2
Price Savers,In-Store Coupon,81.85,4.17,1.8765,3
Sale Winners,Product Attachment,137.7,3.6,1.368,3
Price Destroyers,Sunday Paper,121.44,9.0,4.23,4
Big Time Discounts,In-Store Coupon,145.6,12.48,4.1184,4
Unbeatable Price Savers,Product Attachment,124.36,4.62,2.0328,3
Super Wallet Savers,Cash Register Handout,140.19,10.83,4.332,3
Price Savers,Product Attachment,62.27,9.0,4.5,4
Green Light Days,Cash Register Handout,139.19,6.84,2.2572,3
Super Wallet Savers,Cash Register Handout,140.19,2.01,0.7236,3
Price Savers,Product Attachment,62.27,4.54,1.589,2
Free For All,Daily Paper,52.06,3.04,1.4592,4
Free For All,Daily Paper,52.06,2.19,1.095,3
Weekend Markdown,Daily Paper,140.57,9.08,2.9056,4
Weekend Markdown,Daily Paper,140.57,3.6,1.116,3
Price Slashers,Sunday Paper,67.2,1.12,0.4928,2
Price Slashers,Sunday Paper,67.2,4.17,1.4595,3
Go For It,Product Attachment,119.3,8.72,2.7032,4
One Day Sale,"Daily Paper, Radio, TV",117.29,10.9,4.796,5
Price Savers,Product Attachment,62.27,5.04,1.6128,3
Price Savers,Product Attachment,62.27,4.17,1.2927,3
Unbeatable Price Savers,Product Attachment,124.36,2.92,0.9928,2
Sale Winners,Product Attachment,137.7,4.76,1.4756,2
Saving Days,"Daily Paper, Radio",118.36,2.78,1.0564,2
Wallet Savers,"Daily Paper, Radio, TV",53.13,1.46,0.5694,2
Saving Days,"Daily Paper, Radio",118.36,4.62,1.5708,3
Weekend Markdown,Daily Paper,140.57,6.75,2.2275,3
Shelf Clearing Days,"Daily Paper, Radio",76.41,7.95,2.9415,3
Shelf Clearing Days,"Daily Paper, Radio",76.41,6.84,2.3256,3
Money Savers,Cash Register Handout,53.01,1.06,0.5194,2
Price Destroyers,Sunday Paper,121.44,1.12,0.448,2
Price Savers,Product Attachment,62.27,7.77,3.4188,3
Green Light Days,Cash Register Handout,139.19,2.19,0.9636,3
Dollar Cutters,Daily Paper,110.52,2.75,0.8525,1
Coupon Spectacular,Daily Paper,90.58,2.78,1.0564,2
Coupon Spectacular,Daily Paper,90.58,2.92,1.2556,2
Free For All,Product Attachment,121.8,2.8,0.952,1
Sale Winners,Bulk Mail,108.02,4.56,2.0064,2
Free For All,Product Attachment,121.8,2.75,1.0175,1
Unbeatable Price Savers,Daily Paper,94.69,2.18,1.0028,1
Unbeatable Price Savers,Daily Paper,94.69,2.28,0.9576,1
One Day Sale,Street Handout,95.15,3.12,1.5288,1
Price Cutters,Cash Register Handout,145.52,2.92,1.2556,4
Price Cutters,Cash Register Handout,145.52,1.68,0.6384,3
Shelf Clearing Days,In-Store Coupon,109.21,7.95,3.5775,3
High Roller Savings,"Daily Paper, Radio, TV",68.15,9.52,3.0464,4
Shelf Clearing Days,In-Store Coupon,109.21,9.99,3.3966,3
Two for One,Product Attachment,106.2,4.17,1.8348,3
Three for One,Sunday Paper,118.25,4.5,1.935,2
Price Cutters,Cash Register Handout,145.52,9.52,4.1888,4
Super Wallet Savers,"Daily Paper, Radio",109.14,9.05,4.163,5
High Roller Savings,"Daily Paper, Radio, TV",68.15,4.5,1.935,2
Two for One,Product Attachment,106.2,1.52,0.5624,2
Price Cutters,Cash Register Handout,145.52,9.36,4.0248,3
Money Savers,"Sunday Paper, Radio, TV",82.61,3.04,1.064,4
High Roller Savings,"Daily Paper, Radio, TV",68.15,4.56,1.9152,2
Super Duper Savers,Cash Register Handout,129.5,8.25,2.805,3
Super Duper Savers,Cash Register Handout,129.5,3.08,1.5092,2
Price Destroyers,"Daily Paper, Radio, TV",58.27,9.99,4.995,3
Shelf Clearing Days,Sunday Paper,106.1,7.77,2.9526,3
Shelf Clearing Days,Sunday Paper,106.1,3.6,1.512,3
Free For All,Radio,140.9,9.99,4.7952,3
High Roller Savings,"Daily Paper, Radio, TV",68.15,8.25,2.97,3
High Roller Savings,"Daily Paper, Radio, TV",68.15,10.83,4.4403,3
Super Wallet Savers,"Daily Paper, Radio",109.14,9.36,4.0248,3
Shelf Clearing Days,In-Store Coupon,109.21,9.12,3.648,4
Free For All,Radio,140.9,6.54,2.7468,3
Dollar Cutters,TV,66.18,7.14,3.2844,3
Super Wallet Savers,"Daily Paper, Radio",109.14,2.28,0.798,3
Shelf Clearing Days,Sunday Paper,106.1,7.77,3.5742,3
Three for One,Sunday Paper,118.25,6.6,2.772,4
Save-It Sale,"Daily Paper, Radio",64.84,8.25,3.3825,5
Go For It,Radio,105.74,6.72,2.352,4
Dollar Cutters,TV,66.18,6.6,2.64,4
Super Duper Savers,Cash Register Handout,129.5,4.95,1.881,3
Price Slashers,"Sunday Paper, Radio, TV",86.21,5.6,2.52,2
Shelf Clearing Days,Sunday Paper,106.1,9.36,3.3696,3
Go For It,Radio,105.74,1.68,0.756,3
Price Slashers,"Sunday Paper, Radio, TV",86.21,7.77,2.4864,3
Shelf Clearing Days,Sunday Paper,106.1,4.95,2.2275,3
Money Savers,"Sunday Paper, Radio, TV",82.61,8.4,4.032,3
Free For All,Radio,140.9,1.34,0.402,2
Free For All,Radio,140.9,2.92,1.1972,2
Sales Days,Daily Paper,62.71,7.22,3.3934,2
Coupon Spectacular,TV,51.47,2.92,1.022,2
Price Destroyers,"Sunday Paper, Radio",115.05,3.3,1.089,2
Three for One,Sunday Paper,118.25,3.36,1.512,2
Shelf Clearing Days,Sunday Paper,106.1,6.54,2.7468,3
High Roller Savings,"Daily Paper, Radio, TV",68.15,14.44,5.1984,4
Dimes Off,In-Store Coupon,101.65,2.78,1.1676,2
Sales Galore,"Sunday Paper, Radio, TV",95.65,2.27,0.7264,1
Price Cutters,Radio,133.99,0.56,0.1792,1
One Day Sale,Street Handout,119.62,3.62,1.4842,2
Weekend Markdown,"Sunday Paper, Radio, TV",53.23,0.73,0.292,1
Price Cutters,Sunday Paper,69.42,2.78,1.3066,2
High Roller Savings,"Daily Paper, Radio",84.16,6.54,3.0084,3
High Roller Savings,"Daily Paper, Radio",84.16,7.41,2.5935,3
One Day Sale,"Daily Paper, Radio, TV",131.75,4.94,1.729,2
Green Light Days,Daily Paper,66.27,3.84,1.2672,4
Free For All,Product Attachment,143.83,3.93,1.6506,3
Cash Register Lottery,"Daily Paper, Radio",59.86,8.5,4.25,5
Big Time Discounts,"Daily Paper, Radio",111.51,11.01,4.8444,3
Cash Register Lottery,"Daily Paper, Radio",59.86,3.93,1.965,3
Bag Stuffers,"Daily Paper, Radio",126.62,3.72,1.5252,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,3.84,1.6512,4
Price Slashers,"Sunday Paper, Radio, TV",54.11,3.4,1.428,2
Free For All,Product Attachment,143.83,14.68,5.138,4
Bag Stuffers,"Daily Paper, Radio",126.62,3.84,1.4976,4
Cash Register Lottery,"Sunday Paper, Radio",123.61,3.45,1.0695,3
Cash Register Lottery,"Daily Paper, Radio",59.86,3.72,1.6368,3
Cash Register Lottery,"Daily Paper, Radio",59.86,9.88,4.2484,4
Cash Register Lottery,"Daily Paper, Radio",59.86,5.1,1.836,3
Double Down Sale,Radio,50.79,3.84,1.92,4
I Cant Believe It Sale,Product Attachment,69.47,1.65,0.5115,3
I Cant Believe It Sale,Product Attachment,69.47,3.52,1.056,4
Green Light Days,Daily Paper,66.27,6.84,2.2572,4
Cash Register Lottery,"Sunday Paper, Radio",123.61,6.57,3.0879,3
High Roller Savings,"Daily Paper, Radio",84.16,7.41,2.5194,3
Big Time Savings,Radio,53.45,3.84,1.7664,4
Free For All,Product Attachment,143.83,14.68,4.6976,4
High Roller Savings,"Daily Paper, Radio",84.16,6.84,2.6676,3
Cash Register Lottery,"Daily Paper, Radio",59.86,6.8,3.196,4
Price Savers,"Sunday Paper, Radio",80.29,9.12,3.9216,4
Big Time Savings,Radio,53.45,6.57,2.0367,3
Double Down Sale,Radio,50.79,2.88,1.1232,3
Free For All,Product Attachment,143.83,1.92,0.8256,2
Bag Stuffers,"Daily Paper, Radio",126.62,4.38,1.533,2
Cash Register Lottery,"Daily Paper, Radio, TV",55.59,5.16,1.6512,4
Price Savers,"Sunday Paper, Radio",80.29,9.88,3.952,4
Bag Stuffers,"Daily Paper, Radio",126.62,2.64,1.2936,3
Bag Stuffers,"Daily Paper, Radio",126.62,4.2,1.47,3
Save-It Sale,Radio,144.38,5.22,1.8792,2
One Day Sale,"Daily Paper, Radio, TV",131.75,9.88,4.446,4
Cash Register Lottery,"Daily Paper, Radio",59.86,4.6,1.564,4
Big Time Discounts,"Daily Paper, Radio",111.51,6.84,2.8728,3
Cash Register Lottery,"Daily Paper, Radio",59.86,7.41,2.5935,3
Big Time Savings,Radio,53.45,4.38,1.9272,2
Cash Register Lottery,"Daily Paper, Radio",59.86,4.88,2.1472,4
Cash Register Lottery,In-Store Coupon,95.78,5.13,2.3598,3
Cash Register Lottery,"Daily Paper, Radio, TV",55.59,3.66,1.464,3
Bag Stuffers,"Daily Paper, Radio",126.62,9.88,4.7424,4
Big Time Savings,Radio,53.45,12.35,3.705,5
I Cant Believe It Sale,Product Attachment,69.47,5.6,1.792,4
Bag Stuffers,"Daily Paper, Radio",126.62,7.83,3.8367,3
Big Time Savings,Radio,53.45,4.56,1.7328,2
Price Slashers,"Sunday Paper, Radio, TV",54.11,2.64,1.188,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,10.44,4.5936,4
Big Time Discounts,"Daily Paper, Radio",111.51,4.38,1.9272,2
Cash Register Lottery,"Daily Paper, Radio",59.86,5.22,2.2968,2
Cash Register Lottery,In-Store Coupon,95.78,2.8,1.4,2
Cash Register Lottery,"Daily Paper, Radio",59.86,6.84,3.0096,4
One Day Sale,"Daily Paper, Radio, TV",131.75,14.56,6.6976,4
Bag Stuffers,Product Attachment,82.62,4.8,2.304,5
Double Down Sale,Radio,50.79,4.88,2.2936,4
One Day Sale,"Daily Paper, Radio, TV",131.75,9.88,3.6556,4
I Cant Believe It Sale,Product Attachment,69.47,6.84,2.5308,4
One Day Sale,"Daily Paper, Radio, TV",131.75,7.41,3.2604,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,9.88,4.1496,4
Cash Register Lottery,"Sunday Paper, Radio",123.61,7.28,2.9848,2
Bag Stuffers,"Daily Paper, Radio",126.62,4.38,1.4016,2
High Roller Savings,"Daily Paper, Radio",84.16,5.13,1.8468,3
Cash Register Lottery,"Sunday Paper, Radio",123.61,3.84,1.6128,4
Tip Top Savings,"Daily Paper, Radio, TV",54.9,3.93,1.8864,3
Cash Register Lottery,"Daily Paper, Radio",59.86,3.45,1.242,3
Price Savers,"Sunday Paper, Radio",80.29,7.34,3.4498,2
Free For All,Product Attachment,143.83,4.56,2.28,2
I Cant Believe It Sale,Product Attachment,69.47,1.92,0.8448,2
Bag Stuffers,"Daily Paper, Radio",126.62,3.66,1.7934,3
Cash Register Lottery,"Daily Paper, Radio",59.86,9.12,3.9216,4
Bag Stuffers,Product Attachment,82.62,4.38,1.4454,2
Cash Register Lottery,"Daily Paper, Radio",59.86,4.68,1.404,2
Cash Register Lottery,"Daily Paper, Radio, TV",55.59,5.24,2.4628,4
Cash Register Lottery,"Daily Paper, Radio",59.86,10.92,4.6956,3
Bag Stuffers,Product Attachment,82.62,3.87,1.8189,3
I Cant Believe It Sale,Product Attachment,69.47,4.68,2.1996,2
Cash Register Lottery,"Daily Paper, Radio",59.86,6.54,2.289,3
Price Slashers,"Sunday Paper, Radio, TV",54.11,14.68,4.9912,4
Super Savers,Cash Register Handout,71.51,5.22,2.088,2
Free For All,In-Store Coupon,109.06,3.66,1.7568,3
Weekend Markdown,In-Store Coupon,73.05,7.41,2.7417,3
Double Down Sale,TV,95.74,4.68,1.4508,2
Double Down Sale,TV,95.74,11.01,4.6242,3
Big Promo,Sunday Paper,51.12,10.92,5.3508,3
Price Winners,In-Store Coupon,94.63,3.45,1.518,3
Three for One,Product Attachment,122.47,6.84,2.5308,4
Price Savers,"Sunday Paper, Radio",111.7,3.87,1.7028,3
Save-It Sale,Sunday Paper,139.37,7.28,3.2032,2
Weekend Markdown,In-Store Coupon,73.05,11.01,5.1747,3
Price Savers,Street Handout,115.13,10.92,3.4944,3
Sales Galore,Product Attachment,149.08,11.01,3.5232,3
Double Down Sale,TV,95.74,5.24,1.7292,4
Super Duper Savers,Daily Paper,91.0,3.66,1.098,3
Super Duper Savers,Sunday Paper,69.65,6.54,3.0084,3
Saving Days,Street Handout,67.31,7.41,3.6309,3
Save-It Sale,Sunday Paper,139.37,2.62,1.0742,2
Sales Galore,Product Attachment,149.08,11.01,4.1838,3
Bag Stuffers,Daily Paper,70.32,8.72,2.7032,4
Super Savers,Cash Register Handout,71.51,11.01,4.0737,3
Big Promo,Sunday Paper,51.12,3.93,1.6506,3
Dollar Days,"Daily Paper, Radio",138.81,5.16,2.064,4
Three for One,Product Attachment,122.47,6.84,2.052,3
Save-It Sale,Sunday Paper,139.37,9.88,3.8532,4
Super Savers,Cash Register Handout,71.51,3.87,1.3932,3
Dollar Cutters,"Sunday Paper, Radio",136.74,4.6,1.886,4
Weekend Markdown,In-Store Coupon,73.05,10.44,4.2804,4
Three for One,Product Attachment,122.47,4.94,2.3712,2
Weekend Markdown,In-Store Coupon,73.05,6.54,2.8776,3
Two for One,Product Attachment,59.83,4.6,2.07,4
Free For All,Street Handout,55.18,2.88,1.0368,3
Super Duper Savers,Sunday Paper,69.65,4.96,1.8848,4
Two for One,Product Attachment,59.83,4.2,1.848,3
Dollar Days,"Daily Paper, Radio",138.81,7.83,3.2886,3
Big Promo,Sunday Paper,51.12,7.83,2.349,3
Price Savers,"Sunday Paper, Radio",111.7,7.02,3.2994,3
Super Duper Savers,Daily Paper,91.0,4.94,2.223,2
Sales Galore,Product Attachment,149.08,14.56,6.8432,4
Double Down Sale,TV,95.74,2.44,1.0004,2
Saving Days,Street Handout,67.31,3.87,1.548,3
Two for One,Product Attachment,59.83,11.01,5.505,3
Super Duper Savers,Daily Paper,91.0,4.36,1.6568,2
Double Down Sale,TV,95.74,5.22,1.8792,2
Super Duper Savers,Sunday Paper,69.65,4.38,1.7958,2
Double Down Sale,TV,95.74,1.65,0.759,3
Three for One,Product Attachment,122.47,10.92,5.0232,3
Big Promo,Sunday Paper,51.12,7.28,2.6936,2
Dollar Days,"Daily Paper, Radio",138.81,9.88,3.952,4
Super Savers,Cash Register Handout,71.51,4.68,1.5444,2
Price Savers,Street Handout,115.13,10.44,3.7584,4
Sales Galore,Product Attachment,149.08,4.6,2.07,4
Weekend Markdown,In-Store Coupon,73.05,3.66,1.2444,3
Save-It Sale,Sunday Paper,139.37,7.34,3.4498,2
Three for One,Product Attachment,122.47,1.76,0.792,2
Free For All,Street Handout,55.18,3.72,1.488,3
Dollar Days,"Daily Paper, Radio",138.81,3.66,1.7202,3
Dollar Cutters,"Sunday Paper, Radio",136.74,3.93,1.7292,3
Double Down Sale,TV,95.74,5.1,1.785,3
Two Day Sale,Daily Paper,103.65,1.65,0.825,3
Saving Days,Street Handout,67.31,7.41,2.3712,3
Price Savers,"Sunday Paper, Radio",111.7,9.12,3.8304,4
Super Duper Savers,Sunday Paper,69.65,9.36,2.808,4
Double Down Sale,TV,95.74,6.57,2.4309,3
Three for One,Product Attachment,122.47,7.34,2.3488,2
Dollar Days,"Daily Paper, Radio",138.81,2.64,0.8976,3
Tip Top Savings,Street Handout,142.58,5.6,2.24,4
Free For All,In-Store Coupon,109.06,7.02,3.0888,3
Super Duper Savers,Sunday Paper,69.65,4.94,2.0748,2
Two for One,Product Attachment,59.83,3.42,1.0602,2
Double Down Sale,TV,95.74,3.93,1.6899,3
Super Duper Savers,Daily Paper,91.0,11.01,4.8444,3
Free For All,Street Handout,55.18,7.41,3.4827,3
Super Duper Savers,Daily Paper,91.0,6.57,2.1024,3
Price Savers,Street Handout,115.13,5.6,1.96,4
Sales Galore,Product Attachment,149.08,5.22,1.7226,2
Price Winners,In-Store Coupon,94.63,2.62,0.8646,2
Dollar Days,"Daily Paper, Radio",138.81,4.94,1.6302,2
Super Duper Savers,Sunday Paper,69.65,2.64,0.924,3
Super Duper Savers,Sunday Paper,69.65,3.87,1.3158,3
Weekend Markdown,In-Store Coupon,73.05,2.8,1.372,2
Price Savers,"Sunday Paper, Radio",111.7,2.2,0.99,4
Double Down Sale,TV,95.74,1.65,0.792,3
Double Down Sale,TV,95.74,4.36,1.6568,2
Two for One,Product Attachment,59.83,4.88,1.8056,4
Big Promo,Sunday Paper,51.12,5.22,2.1402,2
Free For All,Street Handout,55.18,7.02,2.5272,3
Two Day Sale,Radio,91.28,6.84,3.1464,3
Double Down Sale,Street Handout,59.19,2.3,0.782,2
Super Savers,In-Store Coupon,134.66,3.52,1.408,4
Big Time Savings,In-Store Coupon,135.8,7.41,2.2971,3
Weekend Markdown,"Daily Paper, Radio",69.63,6.84,2.1888,4
Savings Galore,Street Handout,138.53,5.13,2.2572,3
Price Slashers,"Sunday Paper, Radio, TV",100.44,3.93,1.8471,3
